,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021-08-01,84059.2578125,80627.1875,78844.375,79711.0859375,79567.734375,81302.484375,83027.546875,85793.390625,92110.0703125,87439.6953125,85966.9609375,85240.421875,84829.65625,82937.484375,82591.546875,80569.5,78691.3359375,78204.78125,79973.046875,80933.390625,83320.8984375,82638.2109375,77916.109375,76469.40625
2021-08-02,83765.8125,80182.3203125,78379.0703125,79331.3828125,79152.625,80880.9765625,82523.8671875,85071.953125,91647.4296875,86811.28125,85427.5234375,84775.1171875,84579.640625,82849.6953125,82632.2734375,80576.4375,78731.09375,78155.8203125,79815.5859375,80764.4921875,83234.8671875,82446.2734375,77617.125,76183.1640625
2021-08-03,84563.359375,80635.75,78756.875,79667.359375,79353.484375,81116.9140625,82712.0546875,85159.7265625,91998.90625,86894.8515625,85565.6640625,85118.1640625,85157.5625,83716.2265625,83685.2421875,81652.1875,79759.453125,79042.8203125,80448.0,81245.453125,83584.1171875,82607.3203125,77511.1640625,76046.796875
2021-08-04,86717.3125,82465.1796875,80469.1796875,81256.4296875,80864.734375,82666.1328125,84330.265625,86855.796875,93937.8828125,88506.765625,87152.7421875,86841.1796875,86966.2890625,85695.296875,85735.28125,83705.4609375,81718.8046875,80887.328125,82076.265625,82817.171875,84939.4921875,83807.5390625,78460.2109375,76930.78125
2021-08-05,88077.9140625,83567.4609375,81478.75,82178.28125,81705.3671875,83539.84375,85228.0625,87792.0859375,95055.7109375,89419.1328125,88098.1953125,87930.328125,88172.59375,87110.5078125,87225.46875,85234.1171875,83185.984375,82229.640625,83219.8984375,83882.4140625,85866.7578125,84579.7578125,79027.6328125,77418.59375
2021-08-06,88963.4140625,84462.5234375,82320.2890625,82880.8984375,82431.46875,84269.7265625,86092.4609375,88898.9140625,96003.1875,90449.7109375,89056.0546875,88888.9921875,89041.3125,87878.2265625,87961.1953125,85975.859375,83926.765625,83082.0703125,84007.8203125,84642.78125,86435.4375,85174.71875,79654.5390625,77972.5390625
2021-08-07,88410.09375,83652.4140625,81488.6875,82152.0,81563.21875,83397.9609375,85031.46875,87535.5078125,94942.8515625,89252.9609375,88092.796875,88079.2578125,88524.9609375,87787.75,87942.8125,86037.984375,83976.0625,82796.0859375,83572.0625,84116.984375,86024.8828125,84539.4375,78825.984375,77171.7421875
2021-08-08,89141.1640625,84241.296875,82041.8671875,82639.2109375,82010.609375,83870.75,85511.4140625,88080.5859375,95579.265625,89796.953125,88634.5546875,88705.2421875,89218.765625,88569.609375,88820.6328125,86914.15625,84840.890625,83646.375,84360.5859375,84822.7734375,86619.546875,85100.5625,79289.6484375,77578.1796875
2021-08-09,90726.828125,85759.9375,83450.1484375,83956.2109375,83370.5234375,85219.6875,87000.1875,89776.5234375,97299.375,91426.3828125,90145.3203125,90235.6328125,90716.75,89942.96875,90284.3984375,88333.1640625,86253.171875,85224.3046875,85880.046875,86379.03125,87994.875,86480.578125,80625.1328125,78794.046875
2021-08-10,95412.890625,90208.9921875,87623.2734375,87741.21875,87118.25,88963.9609375,91145.9765625,94518.1484375,101793.9296875,95849.2734375,94319.796875,94415.7734375,94606.8984375,93603.1484375,93662.671875,91709.890625,89472.5546875,88521.78125,88763.6328125,89142.109375,90248.6015625,88527.703125,82504.34375,80621.65625
