date,hour,temp,load,weekday
2006/3/1,0,22.1,7806.395,0
2006/3/1,0.5,21.9,7603.06,0
2006/3/1,1,21.7,7339.85667,0
2006/3/1,1.5,21.7,6993.55667,0
2006/3/1,2,21.7,6719.085,0
2006/3/1,2.5,21.65,6452.67833,0
2006/3/1,3,21.6,6362.47,0
2006/3/1,3.5,21.55,6335.08,0
2006/3/1,4,21.5,6384.315,0
2006/3/1,4.5,21.6,6629.65,0
2006/3/1,5,21.7,7014.34333,0
2006/3/1,5.5,21.5,7640.80667,0
2006/3/1,6,21.3,8316.75667,0
2006/3/1,6.5,21.65,8666.60667,0
2006/3/1,7,22,9104.42,0
2006/3/1,7.5,22.6,9259.5,0
2006/3/1,8,23.2,9412.88333,0
2006/3/1,8.5,24,9658.14333,0
2006/3/1,9,24.8,9802.88667,0
2006/3/1,9.5,25.15,9934.11833,0
2006/3/1,10,25.5,9981.01,0
2006/3/1,10.5,25.65,9981.72167,0
2006/3/1,11,25.8,10044.25833,0
2006/3/1,11.5,26.45,10026.38333,0
2006/3/1,12,27.1,10055.80833,0
2006/3/1,12.5,26.9,10066.94,0
2006/3/1,13,26.7,10046.105,0
2006/3/1,13.5,26.4,10078.04333,0
2006/3/1,14,26.1,10057.865,0
2006/3/1,14.5,25.7,10001.275,0
2006/3/1,15,25.3,10017.32167,0
2006/3/1,15.5,25.65,10046.79333,0
2006/3/1,16,25.99999999,9989.37667,0
2006/3/1,16.5,25.05,9910.52667,0
2006/3/1,17,24.1,9809.33333,0
2006/3/1,17.5,22.8,9490.29167,0
2006/3/1,18,21.5,9327.72333,0
2006/3/1,18.5,22.15,9178.91667,0
2006/3/1,19,22.8,9185.31167,0
2006/3/1,19.5,22.85,9221.10833,0
2006/3/1,20,22.9,9034.095,0
2006/3/1,20.5,22.85,8750.45333,0
2006/3/1,21,22.8,8419.25167,0
2006/3/1,21.5,22.7,8460.755,0
2006/3/1,22,22.6,8294.79667,0
2006/3/1,22.5,22.15,8242.21333,0
2006/3/1,23,21.7,8049.12833,0
2006/3/1,23.5,21.6,7913.34833,0
2006/3/2,0,21.5,7701.15833,0
2006/3/2,0.5,21.7,7503.94833,0
2006/3/2,1,21.9,7280.435,0
2006/3/2,1.5,21.75,6947.61667,0
2006/3/2,2,21.6,6643.46333,0
2006/3/2,2.5,21.65,6427.41667,0
2006/3/2,3,21.7,6325.86333,0
2006/3/2,3.5,21.65,6313.41833,0
2006/3/2,4,21.6,6372.50833,0
2006/3/2,4.5,21.5,6650.43,0
2006/3/2,5,21.4,6961.88167,0
2006/3/2,5.5,21.5,7627.66333,0
2006/3/2,6,21.6,8293.93,0
2006/3/2,6.5,22.05,8689.77833,0
2006/3/2,7,22.5,9096.79667,0
2006/3/2,7.5,22.8,9279.15667,0
2006/3/2,8,23.1,9395.27833,0
2006/3/2,8.5,23.5,9677.83167,0
2006/3/2,9,23.9,9794.435,0
2006/3/2,9.5,24.45,9918.14833,0
2006/3/2,10,25,9973.79833,0
2006/3/2,10.5,25.15,9980.305,0
2006/3/2,11,25.3,10054.63,0
2006/3/2,11.5,25.8,10034.07167,0
2006/3/2,12,26.3,10040.51167,0
2006/3/2,12.5,25.8,10132.45333,0
2006/3/2,13,25.3,10143.04833,0
2006/3/2,13.5,25.05,10160.91333,0
2006/3/2,14,24.8,10136.15833,0
2006/3/2,14.5,24.7,10124.54667,0
2006/3/2,15,24.6,10165.06833,0
2006/3/2,15.5,24.45,10118.01667,0
2006/3/2,16,24.3,10122.72167,0
2006/3/2,16.5,24.05,9991.08667,0
2006/3/2,17,23.8,9925.4,0
2006/3/2,17.5,23.6,9656.91667,0
2006/3/2,18,23.4,9565.52833,0
2006/3/2,18.5,23.2,9466.135,0
2006/3/2,19,23,9532.11333,0
