date,label
2006/1/4,3
2006/1/5,0
2006/1/6,0
2006/1/7,0
2006/1/8,0
2006/1/9,2
2006/1/10,3
2006/1/11,2
2006/1/12,3
2006/1/13,2
2006/1/14,0
2006/1/15,1
2006/1/16,4
2006/1/17,5
2006/1/18,2
2006/1/19,2
2006/1/20,2
2006/1/21,0
2006/1/22,2
2006/1/23,5
2006/1/24,4
2006/1/25,2
2006/1/26,0
2006/1/27,0
2006/1/28,0
2006/1/29,2
2006/1/30,4
2006/1/31,2
2006/2/1,3
2006/2/2,4
2006/2/3,4
2006/2/4,2
2006/2/5,2
2006/2/6,3
2006/2/7,2
2006/2/8,2
2006/2/9,0
2006/2/10,2
2006/2/11,0
2006/2/12,0
2006/2/13,4
2006/2/14,2
2006/2/15,3
2006/2/16,2
2006/2/17,0
2006/2/18,0
2006/2/19,5
2006/2/20,0
2006/2/21,0
2006/2/22,0
2006/2/23,0
2006/2/24,0
2006/2/25,3
2006/2/26,0
2006/2/27,2
2006/2/28,0
2006/3/1,0
2006/3/2,0
2006/3/3,0
2006/3/4,0
2006/3/5,6
2006/3/6,0
2006/3/7,0
2006/3/8,2
2006/3/9,0
2006/3/10,0
2006/3/11,0
2006/3/12,2
2006/3/13,0
2006/3/14,4
2006/3/15,0
2006/3/16,0
2006/3/17,2
2006/3/18,6
2006/3/19,0
2006/3/20,0
2006/3/21,0
2006/3/22,0
2006/3/23,0
2006/3/24,0
2006/3/25,2
2006/3/26,6
2006/3/27,0
2006/3/28,4
2006/3/29,0
2006/3/30,2
2006/3/31,5
2006/4/1,1
2006/4/2,1
2006/4/3,2
2006/4/4,2
2006/4/5,3
2006/4/6,1
2006/4/7,6
2006/4/8,6
2006/4/9,6
2006/4/10,1
2006/4/11,0
2006/4/12,3
2006/4/13,1
2006/4/14,3
2006/4/15,6
2006/4/16,1
2006/4/17,6
2006/4/18,1
2006/4/19,0
2006/4/20,0
2006/4/21,6
2006/4/22,6
2006/4/23,6
2006/4/24,6
2006/4/25,6
2006/4/26,6
2006/4/27,6
2006/4/28,1
2006/4/29,6
2006/4/30,6
2006/5/1,6
2006/5/2,1
2006/5/3,6
2006/5/4,1
2006/5/5,1
2006/5/6,6
2006/5/7,6
2006/5/8,1
2006/5/9,6
2006/5/10,1
2006/5/11,1
2006/5/12,1
2006/5/13,1
2006/5/14,6
2006/5/15,6
2006/5/16,1
2006/5/17,1
2006/5/18,1
2006/5/19,1
2006/5/20,6
2006/5/21,6
2006/5/22,1
2006/5/23,1
2006/5/24,6
2006/5/25,6
2006/5/26,6
2006/5/27,6
2006/5/28,6
2006/5/29,6
2006/5/30,1
