,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-02-01,7622.0732421875,7385.5166015625,7220.33056640625,6951.18603515625,6735.93212890625,6532.16845703125,6456.912109375,6473.95361328125,6525.2900390625,6729.412109375,6966.99755859375,7539.8037109375,8182.50048828125,8681.5908203125,9269.9091796875,9544.521484375,9792.89453125,9981.955078125,10116.0595703125,10164.771484375,10274.1171875,10326.62109375,10412.09765625,10384.466796875,10455.5302734375,10479.6796875,10531.0205078125,10586.408203125,10573.2783203125,10540.455078125,10605.2236328125,10580.6513671875,10583.8388671875,10526.0595703125,10538.9443359375,10377.6259765625,10312.38671875,10040.9208984375,9973.8232421875,9854.4716796875,9739.123046875,9496.140625,9139.6240234375,9056.0322265625,8792.564453125,8746.7685546875,8569.681640625,8395.708984375
2010-02-02,8177.8046875,7951.75146484375,7714.3212890625,7349.001953125,7027.998046875,6805.734375,6713.0791015625,6706.06787109375,6751.349609375,6980.4677734375,7245.52197265625,7833.9189453125,8445.0966796875,8831.1279296875,9309.4033203125,9554.369140625,9744.2275390625,9994.607421875,10135.3046875,10181.900390625,10258.283203125,10286.4814453125,10341.771484375,10325.3994140625,10376.8125,10395.7568359375,10428.1884765625,10477.158203125,10465.3056640625,10420.1953125,10512.0078125,10487.3447265625,10467.8271484375,10324.2353515625,10241.4404296875,9911.248046875,9669.2763671875,9346.3896484375,9339.7275390625,9319.2734375,9249.2236328125,8987.677734375,8652.6953125,8711.4638671875,8549.923828125,8500.9296875,8334.5419921875,8135.4384765625
2010-02-03,7943.12109375,7800.3427734375,7551.70654296875,7213.0634765625,6892.2119140625,6686.5595703125,6575.1611328125,6529.13427734375,6561.826171875,6780.89404296875,7041.24853515625,7568.33837890625,8090.95361328125,8516.1923828125,8947.5751953125,9162.3212890625,9293.09375,9534.791015625,9594.2900390625,9674.79296875,9702.0654296875,9707.00390625,9743.5615234375,9766.8662109375,9766.5078125,9794.3671875,9778.6494140625,9809.1728515625,9798.19921875,9787.51171875,9819.654296875,9824.7333984375,9803.6484375,9672.111328125,9565.4384765625,9309.802734375,9103.783203125,8896.6484375,8895.818359375,8906.6640625,8821.9677734375,8571.41796875,8291.142578125,8353.630859375,8204.2587890625,8214.810546875,8066.62451171875,7901.60107421875
2010-02-04,8133.953125,7924.14404296875,7695.46630859375,7350.50634765625,7045.96533203125,6823.8935546875,6725.34716796875,6706.69189453125,6747.92822265625,6975.70654296875,7250.41796875,7856.82958984375,8491.4853515625,8953.513671875,9487.2080078125,9722.091796875,9899.814453125,10110.419921875,10207.4736328125,10234.6591796875,10297.3359375,10318.6796875,10371.650390625,10352.9560546875,10395.91796875,10413.6279296875,10441.2119140625,10491.8916015625,10480.3251953125,10438.8134765625,10520.54296875,10500.564453125,10483.7109375,10359.3701171875,10298.7587890625,10024.08984375,9829.494140625,9526.7763671875,9512.8271484375,9476.4169921875,9395.1103515625,9134.32421875,8802.4580078125,8834.791015625,8647.3515625,8609.4755859375,8433.7607421875,8243.9697265625
2010-02-05,8246.6142578125,8046.26806640625,7808.162109375,7460.08251953125,7142.85400390625,6909.23388671875,6795.234375,6756.607421875,6787.0478515625,7003.8916015625,7271.60400390625,7856.619140625,8465.275390625,8928.5166015625,9450.177734375,9686.9306640625,9863.3486328125,10079.9638671875,10164.3994140625,10195.7138671875,10242.11328125,10251.2392578125,10290.1015625,10269.2861328125,10297.005859375,10309.8955078125,10322.0712890625,10362.87109375,10348.671875,10308.57421875,10380.5478515625,10367.15625,10351.5869140625,10233.3662109375,10178.8857421875,9927.2724609375,9754.7197265625,9481.859375,9473.8388671875,9444.5859375,9362.7197265625,9105.9462890625,8788.3984375,8822.1748046875,8642.1455078125,8610.67578125,8433.142578125,8244.2998046875
2010-02-06,8374.9580078125,8176.48681640625,7909.07861328125,7547.92822265625,7187.29345703125,6934.5634765625,6781.90771484375,6698.44189453125,6694.99169921875,6836.59375,7000.55078125,7370.51416015625,7727.8193359375,7965.34619140625,8251.8291015625,8543.705078125,8794.6484375,9164.794921875,9346.9541015625,9504.421875,9538.1767578125,9538.880859375,9535.1484375,9525.8876953125,9510.2138671875,9507.95703125,9477.859375,9462.939453125,9439.314453125,9414.7294921875,9444.3701171875,9449.5263671875,9446.5576171875,9340.142578125,9275.4267578125,9052.7919921875,8922.0,8798.27734375,8803.64453125,8811.5419921875,8737.3046875,8510.0869140625,8261.62890625,8310.3193359375,8199.095703125,8175.30615234375,8025.1220703125,7843.6767578125
2010-02-07,7695.416015625,7540.59619140625,7312.97216796875,7041.20068359375,6751.44287109375,6533.9208984375,6384.00830078125,6283.28857421875,6273.14892578125,6355.85302734375,6439.587890625,6642.052734375,6834.244140625,7046.91015625,7246.291015625,7584.6171875,7889.1796875,8298.3896484375,8488.0927734375,8754.8037109375,8789.828125,8802.5908203125,8805.91796875,8833.3046875,8783.7197265625,8794.8740234375,8737.44140625,8690.3525390625,8667.88671875,8686.47265625,8631.3916015625,8672.7705078125,8692.3173828125,8663.5693359375,8633.3759765625,8580.044921875,8610.1044921875,8676.720703125,8626.9423828125,8603.1943359375,8486.3330078125,8295.5234375,8092.98974609375,8035.162109375,7882.24658203125,7899.89208984375,7767.27490234375,7634.1923828125
2010-02-08,7488.7431640625,7273.45703125,7106.2919921875,6849.89892578125,6638.201171875,6448.60107421875,6371.43310546875,6372.65185546875,6422.98583984375,6609.6435546875,6824.4501953125,7340.09619140625,7914.82373046875,8392.0361328125,8924.63671875,9216.3134765625,9474.4130859375,9688.455078125,9818.3525390625,9909.6826171875,10009.9736328125,10058.4375,10140.9189453125,10132.9384765625,10182.2294921875,10212.083984375,10250.3193359375,10290.8720703125,10281.3447265625,10262.798828125,10295.8232421875,10291.4482421875,10298.681640625,10255.9462890625,10258.4228515625,10127.8134765625,10089.826171875,9887.8486328125,9807.51171875,9699.7001953125,9577.208984375,9343.224609375,9008.701171875,8910.626953125,8648.3193359375,8616.931640625,8443.376953125,8282.6171875
2010-02-09,8161.39111328125,7944.525390625,7717.2333984375,7363.23876953125,7057.96875,6834.45361328125,6744.0078125,6739.42578125,6788.22265625,7036.650390625,7335.95654296875,7992.201171875,8678.953125,9165.91796875,9737.9462890625,9954.8603515625,10111.8984375,10298.046875,10389.0654296875,10385.3662109375,10453.30078125,10476.384765625,10537.2001953125,10513.2265625,10570.6171875,10588.916015625,10625.98828125,10689.0498046875,10679.0009765625,10630.3251953125,10730.123046875,10702.125,10677.447265625,10538.236328125,10472.5361328125,10165.49609375,9935.6484375,9584.564453125,9578.0498046875,9540.2001953125,9464.85546875,9195.8330078125,8847.10546875,8893.1611328125,8706.3984375,8663.59375,8488.2041015625,8292.2119140625
2010-02-10,8357.6025390625,8089.04736328125,7874.919921875,7518.8642578125,7218.06396484375,6964.00732421875,6863.4033203125,6870.95947265625,6907.05126953125,7137.73193359375,7417.34326171875,8072.26318359375,8780.8271484375,9237.27734375,9839.748046875,10076.037109375,10287.7373046875,10485.6279296875,10635.94921875,10614.640625,10708.0361328125,10743.5986328125,10797.8408203125,10734.9453125,10818.7880859375,10819.9541015625,10873.228515625,10938.9501953125,10917.75,10848.3955078125,10980.2509765625,10924.86328125,10911.1728515625,10783.296875,10769.6484375,10476.2099609375,10284.1669921875,9889.353515625,9888.8515625,9809.619140625,9737.162109375,9471.0244140625,9102.9326171875,9129.154296875,8930.0458984375,8856.4130859375,8674.310546875,8461.0595703125
