,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-02-01,7615.45,7458.9,7265.36,6995.8,6832.95,6687.17,6664.78,6661.03,6723.19,7017.58,7326.26,7860.35,8468.23,9062.64,9595.12,9951.45,10218.57,10597.13,10715.42,10870.72,11020.89,11182.26,11220.58,11320.13,11353.07,11472.17,11497.26,11573.81,11580.28,11471.96,11528.68,11576.63,11425.54,11326.09,11149.28,10728.33,10450.47,10086.64,9918.85,9851.03,9906.21,9667.38,9362.71,9267.34,9004.73,8783.84,8519.4,8289.87
2010-02-02,8062.6,7828.19,7615.39,7312.33,7063.0,6897.21,6826.46,6785.97,6815.5,7106.9,7314.42,7925.53,8416.29,8898.93,9360.56,9608.54,9844.85,10098.16,10258.32,10466.8,10468.9,10534.01,10522.71,10558.48,10619.79,10625.12,10556.2,10502.66,10425.78,10383.92,10408.99,10438.65,10400.11,10226.34,10013.08,9828.54,9641.56,9457.08,9296.49,9389.56,9334.46,9161.97,8837.33,8908.67,8668.67,8570.75,8372.57,8108.65
2010-02-03,7922.16,7704.18,7476.65,7172.37,6942.44,6707.67,6637.44,6648.86,6758.12,6982.26,7274.91,7910.63,8532.49,9063.64,9501.0,9755.45,9962.35,10275.29,10468.72,10565.88,10648.63,10717.52,10766.88,10797.28,10809.19,10921.71,10974.88,10986.88,10923.06,10910.5,10962.67,11001.15,11024.02,10930.88,10712.43,10441.03,10177.24,9955.02,9850.45,9944.61,9953.74,9735.5,9378.62,9248.21,8987.47,8830.34,8555.63,8284.32
2010-02-04,8109.69,7892.57,7627.21,7331.5,7046.01,6870.83,6834.13,6871.55,6890.39,7119.31,7426.11,8089.67,8759.91,9338.13,9812.35,10054.03,10250.17,10640.08,10782.55,10904.21,10938.18,10952.05,10925.58,10707.16,10951.41,10941.0,11055.68,11138.52,11108.21,11051.23,11042.17,11030.34,10989.27,10852.54,10809.8,10555.94,10360.94,10154.82,9922.49,9948.63,9964.3,9617.2,9352.42,9280.96,8944.18,8876.95,8622.4,8428.72
2010-02-05,8125.16,7908.6,7648.35,7369.92,7117.63,7006.08,6935.45,6947.68,7021.74,7221.15,7524.95,8151.72,8752.19,9357.65,9882.51,10222.85,10439.51,10757.54,11005.89,11118.56,11222.96,11291.52,11330.1,11361.34,11451.06,11469.34,11478.26,11530.39,11362.44,11185.49,11107.83,11087.64,11073.03,10941.6,10764.48,10373.74,10208.44,9891.52,9757.54,9835.96,9704.55,9462.33,9193.04,9190.54,8990.18,8807.33,8636.07,8308.84
2010-02-06,7990.45,7773.14,7512.33,7180.99,6879.4,6701.93,6615.37,6569.83,6546.76,6607.84,6710.7,6890.85,7060.67,7376.03,7763.03,8200.48,8542.97,8924.51,9071.14,9248.92,9305.69,9275.68,9326.52,9283.34,9199.08,9166.88,9133.14,9065.77,9030.21,9023.04,9021.09,8978.09,9039.01,8943.77,8968.15,8977.46,8877.95,8725.48,8610.15,8683.02,8583.57,8470.04,8274.51,8253.88,8132.86,8062.77,7858.32,7626.58
2010-02-07,7438.64,7189.84,7030.72,6743.08,6498.35,6349.99,6314.32,6218.93,6247.29,6325.72,6343.3,6448.51,6532.79,6765.93,7086.01,7450.73,7830.25,8253.13,8486.79,8743.38,8774.2,8884.96,8962.54,9055.4,9057.64,9063.69,8987.21,8949.85,9027.95,9019.02,9086.15,9129.42,9193.87,9154.23,9274.98,9282.9,9199.48,9069.44,9043.14,9165.87,9215.62,8920.74,8644.59,8520.02,8358.11,8168.33,7857.4,7710.62
2010-02-08,7512.34,7345.89,7253.59,6968.07,6775.68,6676.22,6674.51,6655.19,6763.2,6981.06,7272.26,7922.8,8572.98,9192.89,9743.43,9991.68,10205.57,10504.52,10721.34,10865.91,11003.07,10942.23,11024.79,11083.86,11146.74,11169.6,11211.41,11270.89,11253.33,11174.36,11240.6,11289.5,11299.68,11096.72,10976.06,10620.67,10386.1,10158.67,10000.92,10101.25,10115.75,9810.78,9431.01,9370.06,9048.91,8852.15,8612.8,8421.84
2010-02-09,8248.59,7909.9,7712.21,7398.83,7138.57,6978.85,6925.09,6909.9,6951.71,7223.72,7448.81,8090.37,8642.44,9249.67,9697.24,9978.13,10259.43,10602.24,10812.53,11019.05,11101.24,11172.79,11300.55,11326.32,11322.28,11419.52,11465.65,11471.18,11462.58,11542.86,11761.43,11869.84,11879.3,11732.83,11539.36,11209.2,10967.04,10717.17,10554.48,10563.94,10488.09,10181.55,9770.9,9609.2,9267.67,9101.92,8785.77,8511.5
2010-02-10,8256.41,8038.18,7824.43,7485.6,7200.76,7013.12,6961.92,6929.56,6977.31,7182.55,7485.65,8132.36,8727.25,9271.57,9704.29,10028.72,10328.03,10732.93,10953.03,11176.27,11319.95,11462.95,11535.38,11699.08,11738.57,11883.78,12004.93,12114.76,12115.08,12149.94,12314.32,12377.18,12394.02,12282.27,12006.64,11558.82,11315.56,10992.43,10828.78,10799.16,10604.73,10258.8,9804.54,9636.19,9323.02,9100.93,8808.34,8534.46
2010-02-11,8308.77,7989.93,7742.62,7472.49,7246.87,7079.58,6996.08,6962.71,6996.97,7168.22,7499.66,8173.11,8745.27,9265.7,9773.05,10076.07,10397.07,10782.73,11067.12,11317.61,11512.99,11654.95,11852.25,11971.65,12034.98,12199.94,12341.88,12496.27,12532.6,12522.12,12606.64,12572.39,12502.65,12177.97,11968.03,11692.36,11478.07,11228.37,11060.75,11161.94,10982.6,10515.88,10067.69,9880.0,9394.09,9281.97,8961.75,8637.83
2010-02-12,8371.89,8165.45,7934.45,7581.81,7321.41,7185.83,7111.73,7095.4,7096.8,7286.32,7609.32,8201.32,8773.85,9319.32,9864.39,10225.84,10523.84,11033.6,11344.21,11649.29,11872.38,12103.91,12331.15,12507.56,12250.04,12374.8,12550.76,12702.98,12700.37,12745.06,13015.84,13032.78,13134.81,12992.26,12500.48,11795.66,11347.17,10937.24,10680.85,10602.75,10390.5,10103.28,9706.58,9602.54,9329.1,9180.01,8909.29,8542.59
