,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-05-01,8282.845703125,8098.9775390625,7862.8623046875,7600.10986328125,7290.2578125,7003.35107421875,6784.32666015625,6610.09619140625,6533.9736328125,6540.22412109375,6568.42431640625,6684.8701171875,6813.85693359375,7022.99169921875,7242.39794921875,7614.88623046875,8008.7333984375,8440.1376953125,8650.63671875,8910.134765625,8916.275390625,8906.8642578125,8845.1865234375,8816.6650390625,8727.7607421875,8692.5263671875,8605.474609375,8530.9580078125,8483.4423828125,8480.94140625,8430.6015625,8456.1298828125,8508.5107421875,8540.0078125,8627.7138671875,8732.4130859375,8949.439453125,9100.01953125,9068.59765625,8992.828125,8862.517578125,8696.712890625,8528.0673828125,8416.001953125,8242.5048828125,8240.5341796875,8077.00341796875,7943.5654296875
2010-05-02,7865.3349609375,7672.59912109375,7471.1318359375,7250.6142578125,6990.07568359375,6723.056640625,6517.490234375,6362.22216796875,6296.66796875,6271.1220703125,6252.67724609375,6290.52685546875,6336.962890625,6499.9609375,6669.02734375,7067.41796875,7509.54296875,7973.595703125,8236.333984375,8553.6806640625,8583.474609375,8594.2021484375,8548.1875,8521.30078125,8443.4541015625,8409.2470703125,8332.1787109375,8240.9658203125,8197.78515625,8205.3681640625,8129.865234375,8172.2294921875,8230.9501953125,8297.2705078125,8411.4013671875,8578.1298828125,8862.1552734375,9083.998046875,9016.7255859375,8910.8212890625,8768.1376953125,8617.6005859375,8458.0048828125,8280.837890625,8086.859375,8093.115234375,7942.48486328125,7830.7666015625
2010-05-03,7579.88916015625,7396.421875,7228.2509765625,7030.21875,6826.7958984375,6608.09033203125,6461.74951171875,6372.4560546875,6367.93994140625,6447.3095703125,6553.74560546875,6863.8720703125,7225.77001953125,7687.60595703125,8131.84814453125,8494.837890625,8845.486328125,9117.015625,9232.8037109375,9417.283203125,9468.0146484375,9483.3076171875,9509.9580078125,9497.8671875,9470.607421875,9476.8837890625,9454.27734375,9431.8193359375,9408.1728515625,9416.8466796875,9363.8466796875,9397.5849609375,9440.603515625,9499.189453125,9585.939453125,9699.6982421875,9911.9111328125,9959.23046875,9852.197265625,9718.591796875,9561.2783203125,9370.96484375,9116.001953125,8917.2158203125,8630.1552734375,8626.349609375,8438.3525390625,8303.9677734375
2010-05-04,8066.80078125,7885.6787109375,7673.33984375,7414.01171875,7140.9013671875,6890.55810546875,6721.97705078125,6615.19970703125,6596.7607421875,6697.0,6836.4287109375,7189.30712890625,7575.04248046875,8005.79638671875,8438.724609375,8762.7578125,9062.1064453125,9343.810546875,9448.0146484375,9590.9794921875,9616.0703125,9613.1796875,9612.087890625,9587.78125,9555.447265625,9549.1123046875,9511.5517578125,9493.3740234375,9462.771484375,9454.326171875,9436.4375,9454.779296875,9483.2021484375,9486.90234375,9538.5908203125,9562.2138671875,9674.8720703125,9656.0693359375,9602.8896484375,9515.40625,9387.2626953125,9182.546875,8933.9072265625,8827.779296875,8600.28125,8593.1123046875,8409.3447265625,8253.9345703125
2010-05-05,8177.2333984375,7998.84765625,7781.8994140625,7529.48388671875,7246.56103515625,6975.00146484375,6779.2431640625,6644.0107421875,6602.0,6664.54833984375,6761.81982421875,7035.05029296875,7335.61181640625,7720.16064453125,8102.97802734375,8445.587890625,8778.1748046875,9096.564453125,9220.966796875,9397.2548828125,9407.87109375,9395.8671875,9370.5791015625,9338.517578125,9285.5439453125,9267.5595703125,9206.2119140625,9165.75,9127.0087890625,9122.6240234375,9085.9716796875,9110.3291015625,9149.486328125,9173.3017578125,9250.6083984375,9333.396484375,9509.62890625,9561.2587890625,9512.396484375,9421.66015625,9289.572265625,9099.3828125,8880.029296875,8759.322265625,8540.2294921875,8540.298828125,8359.7900390625,8208.427734375
2010-05-06,8300.51171875,8139.98388671875,7928.25341796875,7709.2822265625,7441.15478515625,7154.87158203125,6930.87890625,6757.39208984375,6696.00927734375,6737.12158203125,6833.77392578125,7112.150390625,7435.26318359375,7944.939453125,8413.6337890625,8771.1923828125,9113.044921875,9381.2216796875,9430.5322265625,9581.3271484375,9563.6416015625,9530.9248046875,9487.98046875,9442.9892578125,9365.44921875,9339.12890625,9261.1630859375,9213.107421875,9169.3291015625,9169.453125,9108.09375,9143.521484375,9197.5087890625,9273.4794921875,9405.4599609375,9614.919921875,9915.1318359375,10021.998046875,9956.5126953125,9834.6923828125,9680.755859375,9498.1435546875,9288.1904296875,9108.3046875,8839.5888671875,8849.1767578125,8637.2314453125,8491.4794921875
2010-05-07,8484.587890625,8340.4755859375,8120.27197265625,7906.5986328125,7631.57666015625,7332.18017578125,7084.1357421875,6874.69091796875,6794.39990234375,6820.79345703125,6919.751953125,7195.5703125,7520.89208984375,8092.0458984375,8595.1875,8959.138671875,9301.490234375,9549.294921875,9551.5556640625,9688.9130859375,9645.5078125,9594.716796875,9530.2109375,9480.4892578125,9377.4638671875,9344.8515625,9252.1181640625,9194.8837890625,9149.5732421875,9150.994140625,9074.654296875,9116.2802734375,9179.212890625,9278.0478515625,9434.220703125,9704.177734375,10067.943359375,10209.0673828125,10146.2568359375,10017.9072265625,9855.259765625,9675.609375,9480.8662109375,9284.234375,8996.6787109375,9011.857421875,8780.978515625,8638.8623046875
2010-05-08,8411.771484375,8244.7880859375,8002.38134765625,7757.60498046875,7450.2314453125,7149.89453125,6905.921875,6687.6591796875,6584.04638671875,6565.98583984375,6585.18603515625,6672.1396484375,6781.6845703125,7036.8603515625,7279.01708984375,7660.78857421875,8067.83203125,8487.7216796875,8663.2275390625,8916.953125,8900.103515625,8877.4326171875,8790.0263671875,8757.3056640625,8635.6005859375,8588.970703125,8482.005859375,8396.5595703125,8343.7060546875,8343.7978515625,8276.6533203125,8306.1435546875,8371.9375,8437.28515625,8565.3583984375,8759.4189453125,9069.392578125,9276.78515625,9248.236328125,9154.74609375,9008.0703125,8854.296875,8706.28125,8563.83984375,8368.1376953125,8373.19921875,8191.4892578125,8073.29541015625
2010-05-09,8045.34619140625,7863.09716796875,7653.14013671875,7434.8212890625,7168.27734375,6892.0703125,6669.22705078125,6487.94921875,6411.8896484375,6380.55615234375,6369.970703125,6426.07421875,6499.7705078125,6732.9541015625,6947.6005859375,7355.8935546875,7796.75927734375,8231.4794921875,8443.7431640625,8741.4873046875,8749.5458984375,8743.62890625,8685.9775390625,8653.5205078125,8555.9765625,8519.9619140625,8432.8681640625,8339.2978515625,8294.09765625,8301.720703125,8216.2470703125,8265.2978515625,8331.5888671875,8416.89453125,8548.6474609375,8760.40234375,9092.9296875,9330.927734375,9259.9267578125,9150.8984375,8998.7548828125,8849.04296875,8692.3623046875,8500.697265625,8285.81640625,8292.400390625,8119.71875,8003.66748046875
2010-05-10,7682.5009765625,7528.01904296875,7348.3095703125,7158.935546875,6944.93212890625,6715.3212890625,6543.44970703125,6415.9375,6393.5595703125,6453.8671875,6549.71337890625,6827.16552734375,7146.22900390625,7641.09228515625,8080.13134765625,8442.6953125,8784.916015625,9050.9384765625,9123.6103515625,9315.4296875,9331.7548828125,9326.0654296875,9330.79296875,9321.6494140625,9262.1572265625,9262.5791015625,9212.0947265625,9173.8564453125,9147.310546875,9165.0419921875,9085.7958984375,9135.3740234375,9182.607421875,9259.5107421875,9357.8330078125,9535.9462890625,9802.373046875,9918.5751953125,9813.859375,9688.9619140625,9524.072265625,9341.3916015625,9115.0888671875,8906.8427734375,8619.1376953125,8635.0654296875,8440.6513671875,8315.1259765625
