,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-05-01,8282.845703125,8098.9775390625,7862.8623046875,7600.10986328125,7290.2578125,7003.35107421875,6784.32666015625,6610.09619140625,6533.9736328125,6540.22412109375,6568.42431640625,6684.8701171875,6813.85693359375,7022.99169921875,7242.39794921875,7614.88623046875,8008.7333984375,8440.1376953125,8650.63671875,8910.134765625,8916.275390625,8906.8642578125,8845.1865234375,8816.6650390625,8727.7607421875,8692.5263671875,8605.474609375,8530.9580078125,8483.4423828125,8480.94140625,8430.6015625,8456.1298828125,8508.5107421875,8540.0078125,8627.7138671875,8732.4130859375,8949.439453125,9100.01953125,9068.59765625,8992.828125,8862.517578125,8696.712890625,8528.0673828125,8416.001953125,8242.5048828125,8240.5341796875,8077.00341796875,7943.5654296875
2010-05-02,7865.3349609375,7672.59912109375,7471.1318359375,7250.6142578125,6990.07568359375,6723.056640625,6517.490234375,6362.22216796875,6296.66796875,6271.1220703125,6252.67724609375,6290.52685546875,6336.962890625,6499.9609375,6669.02734375,7067.41796875,7509.54296875,7973.595703125,8236.333984375,8553.6806640625,8583.474609375,8594.2021484375,8548.1875,8521.30078125,8443.4541015625,8409.2470703125,8332.1787109375,8240.9658203125,8197.78515625,8205.3681640625,8129.865234375,8172.2294921875,8230.9501953125,8297.2705078125,8411.4013671875,8578.1298828125,8862.1552734375,9083.998046875,9016.7255859375,8910.8212890625,8768.1376953125,8617.6005859375,8458.0048828125,8280.837890625,8086.859375,8093.115234375,7942.48486328125,7830.7666015625
2010-05-03,7580.79541015625,7406.1494140625,7237.4736328125,7043.2744140625,6842.181640625,6625.14697265625,6477.2216796875,6384.5576171875,6380.474609375,6464.47021484375,6580.96533203125,6907.55224609375,7288.45263671875,7785.734375,8253.3408203125,8611.0361328125,8949.673828125,9202.5703125,9293.0400390625,9466.1962890625,9510.1484375,9521.1630859375,9547.689453125,9536.69140625,9505.4853515625,9513.447265625,9488.6787109375,9469.03515625,9445.3740234375,9455.75,9399.4697265625,9435.4375,9478.8076171875,9540.892578125,9629.1650390625,9755.046875,9975.1103515625,10022.2314453125,9913.6181640625,9779.337890625,9618.5,9426.74609375,9170.771484375,8968.6923828125,8673.4697265625,8674.458984375,8481.1376953125,8348.0185546875
2010-05-04,8072.228515625,7894.3642578125,7681.87548828125,7424.8203125,7152.662109375,6901.9453125,6731.53759765625,6621.82958984375,6602.4150390625,6702.41748046875,6843.599609375,7199.13232421875,7588.4794921875,8031.8193359375,8472.4296875,8795.8642578125,9092.7392578125,9368.6552734375,9463.8466796875,9603.8994140625,9625.708984375,9620.826171875,9618.6435546875,9594.208984375,9559.337890625,9553.078125,9513.76171875,9495.51171875,9464.6142578125,9456.9501953125,9436.8017578125,9456.443359375,9485.6279296875,9492.322265625,9546.5546875,9578.81640625,9698.919921875,9683.8212890625,9629.6943359375,9541.2099609375,9411.25,9206.7109375,8958.8330078125,8849.716796875,8618.70703125,8613.4658203125,8427.3330078125,8272.654296875
2010-05-05,8189.78271484375,8017.4619140625,7800.7294921875,7554.32666015625,7273.046875,6997.65380859375,6795.16748046875,6652.47509765625,6605.31591796875,6663.11669921875,6758.42626953125,7026.49951171875,7322.068359375,7722.76904296875,8114.05517578125,8455.1357421875,8785.6064453125,9097.7353515625,9210.123046875,9384.0634765625,9387.6669921875,9371.853515625,9341.478515625,9307.7421875,9248.8720703125,9228.8349609375,9161.45703125,9118.2841796875,9077.736328125,9075.396484375,9033.392578125,9059.259765625,9100.1826171875,9131.4111328125,9217.49609375,9323.765625,9520.4384765625,9586.013671875,9537.7080078125,9443.251953125,9307.783203125,9119.6416015625,8905.5224609375,8778.0888671875,8554.9638671875,8560.048828125,8377.8095703125,8228.916015625
2010-05-06,8316.47265625,8166.9814453125,7953.32373046875,7740.32666015625,7473.6181640625,7185.8212890625,6954.01708984375,6768.134765625,6699.8603515625,6735.533203125,6832.0537109375,7103.9091796875,7420.98876953125,7952.32958984375,8428.314453125,8786.2158203125,9124.904296875,9385.8505859375,9416.3701171875,9566.1943359375,9539.158203125,9500.654296875,9450.6162109375,9408.080078125,9319.4873046875,9291.943359375,9207.169921875,9154.9990234375,9110.970703125,9115.021484375,9044.2978515625,9082.7802734375,9139.76953125,9225.2412109375,9364.0244140625,9599.8486328125,9924.8408203125,10050.521484375,9985.9306640625,9861.814453125,9702.765625,9523.001953125,9321.16015625,9133.7314453125,8858.4091796875,8874.04296875,8658.3330078125,8517.8046875
2010-05-07,8504.005859375,8361.0244140625,8140.57177734375,7929.99365234375,7655.88623046875,7355.5546875,7104.9111328125,6891.4443359375,6809.97021484375,6834.1181640625,6932.7958984375,7209.6533203125,7538.572265625,8123.48388671875,8634.962890625,9003.431640625,9348.404296875,9591.62109375,9584.7265625,9720.560546875,9674.1845703125,9620.802734375,9555.1513671875,9504.2822265625,9398.4794921875,9365.6142578125,9271.607421875,9213.45703125,9167.7216796875,9169.7470703125,9090.2236328125,9134.0244140625,9199.05078125,9303.9765625,9464.7294921875,9747.20703125,10124.1142578125,10271.505859375,10204.76171875,10074.4130859375,9909.166015625,9730.2734375,9535.7060546875,9332.1064453125,9038.5751953125,9053.76953125,8817.642578125,8675.0166015625
2010-05-08,8409.62890625,8245.6376953125,8002.28759765625,7758.3681640625,7451.32861328125,7151.88134765625,6907.4130859375,6686.61865234375,6582.29638671875,6563.890625,6583.5986328125,6669.458984375,6778.52587890625,7037.6025390625,7279.93017578125,7662.236328125,8067.7236328125,8486.4189453125,8656.7314453125,8911.2978515625,8892.2138671875,8868.4599609375,8780.6015625,8749.2666015625,8624.8095703125,8578.91796875,8470.4208984375,8384.2724609375,8331.7822265625,8333.09375,8263.685546875,8294.34375,8360.462890625,8427.267578125,8555.0947265625,8752.439453125,9065.98046875,9277.3564453125,9248.01171875,9155.935546875,9007.5078125,8854.3505859375,8708.001953125,8564.5263671875,8368.0625,8374.177734375,8191.67724609375,8074.78857421875
2010-05-09,8013.62255859375,7845.291015625,7623.919921875,7412.3525390625,7142.63427734375,6870.2373046875,6644.88134765625,6441.7802734375,6354.05224609375,6311.68896484375,6289.35546875,6300.0810546875,6329.89990234375,6527.1689453125,6698.36181640625,7109.6650390625,7555.04541015625,8015.8173828125,8228.8876953125,8547.6474609375,8549.12890625,8543.7177734375,8475.8603515625,8452.79296875,8336.4873046875,8296.0859375,8195.1591796875,8094.53857421875,8047.22314453125,8060.43115234375,7966.69873046875,8017.7705078125,8087.087890625,8177.61376953125,8309.6103515625,8540.1865234375,8891.1015625,9170.544921875,9102.154296875,9002.3154296875,8841.859375,8702.99609375,8565.2431640625,8373.2578125,8170.3984375,8182.833984375,8010.67724609375,7913.34619140625
2010-05-10,7683.3369140625,7537.76416015625,7357.50537109375,7171.98779296875,6960.30419921875,6732.39208984375,6558.95361328125,6428.001953125,6406.05322265625,6471.02197265625,6576.94873046875,6870.822265625,7208.8623046875,7739.2578125,8201.6259765625,8558.9765625,8889.1484375,9136.5419921875,9183.7490234375,9364.3193359375,9373.8134765625,9363.8125,9368.4296875,9360.466796875,9296.974609375,9299.1474609375,9246.4462890625,9210.9951171875,9184.4462890625,9203.9453125,9121.3134765625,9173.18359375,9220.783203125,9301.2041015625,9400.94140625,9591.177734375,9865.470703125,9981.560546875,9875.22265625,9749.73046875,9581.2919921875,9397.1728515625,9169.876953125,8958.3544921875,8662.4443359375,8683.2119140625,8483.412109375,8359.158203125
