,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-11-01,7372.08935546875,7245.90625,7040.08154296875,6801.8017578125,6559.0849609375,6390.91015625,6272.81005859375,6186.5048828125,6211.384765625,6329.53466796875,6464.53466796875,6769.685546875,7080.10205078125,7474.88671875,7790.91064453125,8128.7177734375,8401.5625,8710.6591796875,8799.5322265625,9031.982421875,9065.0458984375,9072.9482421875,9113.251953125,9167.1728515625,9113.4482421875,9150.3349609375,9115.72265625,9092.9892578125,9087.107421875,9118.0634765625,9039.0830078125,9105.79296875,9126.7099609375,9123.7529296875,9082.7509765625,9062.181640625,9114.080078125,9174.537109375,9076.8798828125,9038.130859375,8899.818359375,8697.732421875,8464.330078125,8355.6513671875,8129.29345703125,8156.765625,7992.15966796875,7868.58251953125
2010-11-02,7845.2353515625,7737.2080078125,7484.63232421875,7184.30126953125,6876.21826171875,6689.0986328125,6556.48583984375,6449.19384765625,6472.39697265625,6631.47265625,6830.51220703125,7236.30810546875,7623.61572265625,8069.2578125,8424.5732421875,8710.2119140625,8900.34765625,9172.783203125,9194.658203125,9359.9599609375,9351.513671875,9330.0302734375,9351.7822265625,9400.55078125,9335.52734375,9366.634765625,9322.1494140625,9310.6328125,9307.0166015625,9322.4296875,9273.9287109375,9338.322265625,9336.962890625,9277.517578125,9188.337890625,9073.6494140625,9014.8984375,9004.5576171875,8950.2099609375,8968.033203125,8855.8095703125,8630.2919921875,8395.8984375,8378.142578125,8196.232421875,8226.1025390625,8051.2099609375,7908.939453125
2010-11-03,7809.31005859375,7747.6162109375,7491.833984375,7209.1552734375,6904.51318359375,6713.73974609375,6563.8330078125,6429.1728515625,6440.216796875,6600.47119140625,6814.72705078125,7223.0380859375,7604.14794921875,8130.775390625,8521.5556640625,8775.98046875,8919.140625,9151.0810546875,9100.8017578125,9249.90234375,9205.9794921875,9164.2294921875,9171.509765625,9230.0224609375,9138.6728515625,9169.2470703125,9097.818359375,9080.6689453125,9076.705078125,9105.763671875,9032.07421875,9108.27734375,9103.9814453125,9056.2294921875,8973.736328125,8921.3349609375,8901.4443359375,8938.3310546875,8892.416015625,8914.3369140625,8792.4716796875,8569.044921875,8359.0078125,8335.541015625,8147.18701171875,8210.2080078125,8036.79296875,7912.23388671875
2010-11-04,7826.705078125,7746.39208984375,7498.47900390625,7223.37060546875,6926.375,6728.150390625,6575.42333984375,6442.6171875,6449.669921875,6595.4775390625,6790.43896484375,7177.15966796875,7545.1484375,8051.9208984375,8439.78125,8713.138671875,8888.9326171875,9134.4736328125,9111.279296875,9269.1103515625,9236.3095703125,9199.787109375,9206.7373046875,9254.1298828125,9169.359375,9194.5419921875,9127.4658203125,9106.46875,9099.4052734375,9124.7919921875,9053.6396484375,9126.10546875,9127.9306640625,9094.2080078125,9033.501953125,9002.3251953125,9014.1025390625,9058.2861328125,9004.6884765625,9009.4306640625,8884.802734375,8666.5,8453.216796875,8408.3076171875,8211.5185546875,8263.970703125,8087.26318359375,7959.64501953125
2010-11-05,7854.31787109375,7762.953125,7519.45263671875,7238.6689453125,6945.13623046875,6748.89453125,6603.93310546875,6483.6875,6498.02197265625,6657.201171875,6870.61669921875,7301.8193359375,7722.76806640625,8257.4990234375,8684.8349609375,8953.11328125,9125.099609375,9348.5458984375,9321.59765625,9454.5966796875,9430.494140625,9398.400390625,9412.654296875,9453.60546875,9381.431640625,9408.3564453125,9355.2216796875,9346.3681640625,9340.38671875,9357.486328125,9301.53515625,9366.4482421875,9367.9677734375,9328.0322265625,9269.642578125,9217.8046875,9213.0224609375,9214.0224609375,9160.833984375,9156.80078125,9034.5986328125,8809.1064453125,8577.33203125,8534.982421875,8326.19140625,8369.3134765625,8185.72216796875,8051.091796875
2010-11-06,7928.892578125,7856.3134765625,7589.068359375,7307.39208984375,6982.72900390625,6770.142578125,6588.62060546875,6413.1513671875,6386.7412109375,6477.861328125,6605.55712890625,6842.41845703125,7041.07861328125,7400.9931640625,7638.7451171875,7943.49462890625,8170.064453125,8515.42578125,8554.5078125,8793.76171875,8748.4560546875,8707.69921875,8677.966796875,8735.9013671875,8612.8017578125,8625.6396484375,8527.998046875,8470.0625,8456.94140625,8492.1923828125,8393.443359375,8472.08984375,8487.080078125,8463.435546875,8404.7509765625,8404.9423828125,8459.408203125,8608.5693359375,8571.875,8594.962890625,8471.357421875,8275.3251953125,8115.568359375,8079.4482421875,7922.333984375,7980.890625,7821.734375,7708.15673828125
2010-11-07,7574.4892578125,7477.0595703125,7240.17236328125,6993.96630859375,6709.5458984375,6509.42724609375,6340.80322265625,6187.24951171875,6164.47216796875,6217.10693359375,6279.126953125,6408.7099609375,6506.96484375,6760.52783203125,6913.35595703125,7264.41259765625,7565.16455078125,7975.7490234375,8102.9208984375,8417.796875,8408.951171875,8396.0,8380.732421875,8440.1162109375,8330.939453125,8346.080078125,8256.4296875,8181.623046875,8166.60986328125,8211.7470703125,8093.92578125,8176.4296875,8204.546875,8212.1572265625,8178.22265625,8221.10546875,8334.9794921875,8544.2021484375,8476.060546875,8470.478515625,8334.3837890625,8158.82080078125,8004.849609375,7913.7138671875,7747.41796875,7800.52978515625,7659.2294921875,7557.04150390625
2010-11-08,7251.21875,7157.0263671875,6952.548828125,6719.04052734375,6487.1904296875,6334.5107421875,6229.685546875,6149.87646484375,6187.8564453125,6343.96240234375,6531.31591796875,6915.32470703125,7305.04541015625,7802.044921875,8193.1064453125,8488.189453125,8692.8603515625,8936.3173828125,8951.982421875,9139.451171875,9159.0615234375,9160.2333984375,9212.876953125,9279.9306640625,9227.388671875,9275.205078125,9242.0009765625,9236.5791015625,9238.0966796875,9274.486328125,9195.9892578125,9265.33203125,9273.4326171875,9257.5078125,9197.064453125,9162.9033203125,9180.87890625,9207.001953125,9112.5234375,9081.7119140625,8939.90234375,8725.4619140625,8482.193359375,8385.626953125,8148.07861328125,8193.59375,8027.28955078125,7913.07177734375
2010-11-09,7694.45361328125,7580.005859375,7336.95556640625,7029.8447265625,6733.3681640625,6559.755859375,6453.1328125,6385.64111328125,6427.9423828125,6625.6494140625,6862.08837890625,7335.5458984375,7796.81689453125,8256.58203125,8650.353515625,8904.48828125,9058.1533203125,9303.4873046875,9328.9580078125,9461.916015625,9476.5078125,9470.1083984375,9514.2783203125,9567.3193359375,9532.8115234375,9573.080078125,9549.8408203125,9561.76171875,9561.9501953125,9573.6015625,9550.953125,9597.1201171875,9583.8759765625,9495.435546875,9383.708984375,9200.0927734375,9066.0859375,8970.041015625,8925.404296875,8940.8095703125,8836.1318359375,8597.521484375,8335.66015625,8343.0830078125,8164.69189453125,8190.36376953125,8027.85986328125,7882.32373046875
2010-11-10,7762.46142578125,7646.34912109375,7402.6337890625,7095.63671875,6795.9501953125,6610.78662109375,6495.392578125,6418.4072265625,6451.88525390625,6641.02099609375,6870.10205078125,7329.2998046875,7776.865234375,8230.2763671875,8623.8427734375,8878.1572265625,9037.8994140625,9288.21875,9318.662109375,9451.1630859375,9461.353515625,9451.8447265625,9487.533203125,9533.4404296875,9496.3037109375,9531.0869140625,9501.6611328125,9508.1875,9506.35546875,9515.7822265625,9493.1201171875,9537.572265625,9525.498046875,9441.3037109375,9342.70703125,9174.5263671875,9059.150390625,8973.513671875,8934.26171875,8945.3505859375,8840.6796875,8604.4013671875,8349.21484375,8353.609375,8177.5419921875,8203.3798828125,8041.55810546875,7897.04638671875
