,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-02-01,7622.0732421875,7385.5166015625,7220.33056640625,6951.18603515625,6735.93212890625,6532.16845703125,6456.912109375,6473.95361328125,6525.2900390625,6729.412109375,6966.99755859375,7539.8037109375,8182.50048828125,8681.5908203125,9269.9091796875,9544.521484375,9792.89453125,9981.955078125,10116.0595703125,10164.771484375,10274.1171875,10326.62109375,10412.09765625,10384.466796875,10455.5302734375,10479.6796875,10531.0205078125,10586.408203125,10573.2783203125,10540.455078125,10605.2236328125,10580.6513671875,10583.8388671875,10526.0595703125,10538.9443359375,10377.6259765625,10312.38671875,10040.9208984375,9973.8232421875,9854.4716796875,9739.123046875,9496.140625,9139.6240234375,9056.0322265625,8792.564453125,8746.7685546875,8569.681640625,8395.708984375
2010-02-02,8181.8310546875,7956.41552734375,7718.029296875,7352.18408203125,7030.1796875,6808.5224609375,6715.6064453125,6707.7451171875,6753.0615234375,6981.7646484375,7246.49169921875,7833.7685546875,8443.724609375,8829.0263671875,9305.154296875,9551.3154296875,9741.6689453125,9993.271484375,10133.0751953125,10180.955078125,10256.90234375,10284.740234375,10339.658203125,10323.98828125,10374.388671875,10393.6103515625,10425.8017578125,10474.4794921875,10462.65234375,10417.8076171875,10508.826171875,10484.8232421875,10465.763671875,10322.2373046875,10238.193359375,9907.6806640625,9665.556640625,9343.990234375,9336.921875,9317.650390625,9247.5966796875,8986.0830078125,8651.6572265625,8710.9130859375,8549.494140625,8500.5283203125,8333.3828125,8134.18408203125
2010-02-03,7939.66015625,7791.57763671875,7543.90576171875,7203.8369140625,6883.17041015625,6677.16796875,6567.91259765625,6524.59423828125,6558.11767578125,6776.5478515625,7033.8466796875,7557.60302734375,8076.48828125,8488.7734375,8913.759765625,9130.8623046875,9267.0048828125,9514.826171875,9585.365234375,9668.98828125,9700.2138671875,9707.611328125,9745.6474609375,9767.9990234375,9770.8857421875,9798.197265625,9784.9609375,9815.1640625,9804.6630859375,9792.67578125,9827.509765625,9831.29296875,9809.6181640625,9676.380859375,9569.3408203125,9306.8447265625,9096.26171875,8886.3564453125,8885.166015625,8895.4736328125,8812.2275390625,8561.7978515625,8280.0087890625,8343.021484375,8195.95703125,8203.3037109375,8056.6015625,7890.740234375
2010-02-04,8106.4755859375,7898.64501953125,7670.20361328125,7321.52099609375,7017.103515625,6800.1552734375,6707.4267578125,6696.7265625,6743.42578125,6982.017578125,7268.92138671875,7896.75927734375,8552.5517578125,9024.13671875,9567.9287109375,9793.048828125,9957.615234375,10158.21875,10249.0556640625,10266.7958984375,10331.6728515625,10354.84765625,10412.48828125,10396.3984375,10444.1533203125,10464.9287109375,10496.86328125,10554.021484375,10543.826171875,10501.58984375,10588.5439453125,10565.6005859375,10545.7431640625,10412.552734375,10342.9306640625,10049.1611328125,9832.380859375,9509.6220703125,9498.6318359375,9465.328125,9386.1787109375,9121.1103515625,8783.5029296875,8825.4697265625,8639.11328125,8601.8583984375,8428.060546875,8237.3447265625
2010-02-05,8201.876953125,8006.6103515625,7768.45263671875,7416.58837890625,7098.5087890625,6869.42138671875,6760.37548828125,6730.115234375,6764.6044921875,6992.38037109375,7271.13818359375,7872.201171875,8493.720703125,8958.447265625,9482.9443359375,9704.8466796875,9863.3330078125,10072.919921875,10153.7978515625,10177.6728515625,10225.3193359375,10236.7138671875,10278.990234375,10262.349609375,10294.248046875,10310.0244140625,10323.5283203125,10370.15234375,10356.6767578125,10317.30078125,10393.953125,10376.375,10356.4453125,10226.462890625,10160.833984375,9888.2587890625,9688.78515625,9397.4248046875,9396.671875,9372.4365234375,9293.6025390625,9033.0927734375,8713.072265625,8761.3828125,8587.9345703125,8560.318359375,8390.2119140625,8201.8740234375
2010-02-06,8377.7958984375,8180.69970703125,7913.5146484375,7553.74462890625,7193.9228515625,6940.7021484375,6787.14697265625,6702.1708984375,6698.17236328125,6839.51708984375,7004.23193359375,7375.40283203125,7734.669921875,7978.93896484375,8269.974609375,8561.734375,8811.7275390625,9178.7294921875,9356.5390625,9512.4228515625,9544.5615234375,9544.2177734375,9540.0634765625,9530.4619140625,9513.62890625,9511.3466796875,9480.3466796875,9465.298828125,9441.53515625,9417.244140625,9445.765625,9451.69140625,9449.0615234375,9344.548828125,9281.763671875,9064.1875,8938.0498046875,8816.4052734375,8821.0146484375,8828.0078125,8752.712890625,8525.70703125,8277.4951171875,8323.962890625,8210.66796875,8187.72216796875,8036.31103515625,7855.22802734375
2010-02-07,7695.05517578125,7539.40771484375,7312.39111328125,7041.12353515625,6752.0869140625,6533.974609375,6384.06982421875,6283.70068359375,6273.4404296875,6356.00732421875,6439.5205078125,6642.205078125,6834.97021484375,7047.994140625,7248.77392578125,7587.109375,7892.2939453125,8301.03515625,8491.5458984375,8757.669921875,8793.1181640625,8806.0283203125,8809.54296875,8836.21875,8787.32421875,8798.109375,8740.9453125,8693.8408203125,8671.330078125,8689.6953125,8635.0576171875,8676.091796875,8695.5263671875,8667.2578125,8638.3408203125,8585.9521484375,8617.1708984375,8683.41796875,8633.48046875,8608.69921875,8491.7099609375,8301.0517578125,8098.107421875,8039.232421875,7885.93310546875,7903.2177734375,7770.66064453125,7637.56494140625
2010-02-08,7488.7431640625,7273.45703125,7106.2919921875,6849.89892578125,6638.201171875,6448.60107421875,6371.43310546875,6372.65185546875,6422.98583984375,6609.6435546875,6824.4501953125,7340.09619140625,7914.82373046875,8392.0361328125,8924.63671875,9216.3134765625,9474.4130859375,9688.455078125,9818.3525390625,9909.6826171875,10009.9736328125,10058.4375,10140.9189453125,10132.9384765625,10182.2294921875,10212.083984375,10250.3193359375,10290.8720703125,10281.3447265625,10262.798828125,10295.8232421875,10291.4482421875,10298.681640625,10255.9462890625,10258.4228515625,10127.8134765625,10089.826171875,9887.8486328125,9807.51171875,9699.7001953125,9577.208984375,9343.224609375,9008.701171875,8910.626953125,8648.3193359375,8616.931640625,8443.376953125,8282.6171875
2010-02-09,8141.37353515625,7927.7333984375,7701.42578125,7346.6240234375,7043.3935546875,6823.34814453125,6736.875,6737.60693359375,6790.48486328125,7048.79150390625,7360.84814453125,8039.99609375,8750.7978515625,9258.6513671875,9849.5126953125,10056.916015625,10200.435546875,10371.3154296875,10450.0166015625,10433.8798828125,10501.634765625,10524.8388671875,10589.5361328125,10566.88671875,10627.3525390625,10648.0576171875,10688.095703125,10757.2080078125,10748.10546875,10699.0361328125,10802.5576171875,10772.6201171875,10745.5234375,10601.4931640625,10531.5146484375,10215.6630859375,9973.3359375,9605.9677734375,9601.0107421875,9563.5087890625,9488.462890625,9215.806640625,8861.466796875,8912.173828125,8722.654296875,8681.314453125,8505.5947265625,8309.1337890625
2010-02-10,8357.6025390625,8089.04736328125,7874.919921875,7518.8642578125,7218.06396484375,6964.00732421875,6863.4033203125,6870.95947265625,6907.05126953125,7137.73193359375,7417.34326171875,8072.26318359375,8780.8271484375,9237.27734375,9839.748046875,10076.037109375,10287.7373046875,10485.6279296875,10635.94921875,10614.640625,10708.0361328125,10743.5986328125,10797.8408203125,10734.9453125,10818.7880859375,10819.9541015625,10873.228515625,10938.9501953125,10917.75,10848.3955078125,10980.2509765625,10924.86328125,10911.1728515625,10783.296875,10769.6484375,10476.2099609375,10284.1669921875,9889.353515625,9888.8515625,9809.619140625,9737.162109375,9471.0244140625,9102.9326171875,9129.154296875,8930.0458984375,8856.4130859375,8674.310546875,8461.0595703125
