,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-08-01,8413.677734375,8198.978515625,8004.95751953125,7810.80224609375,7559.3974609375,7226.1923828125,6956.248046875,6743.16552734375,6621.3125,6549.01904296875,6521.064453125,6574.55322265625,6677.78564453125,6985.08251953125,7309.74365234375,7729.8017578125,8222.779296875,8623.1015625,8835.8623046875,9079.91796875,9082.552734375,9068.544921875,8973.423828125,8884.779296875,8786.90625,8715.68359375,8624.4580078125,8522.1689453125,8460.3525390625,8448.5625,8380.4345703125,8400.12109375,8486.8232421875,8626.578125,8873.7275390625,9219.9580078125,9708.7333984375,9948.8662109375,9893.9931640625,9708.078125,9541.740234375,9403.421875,9247.517578125,8993.255859375,8732.92578125,8720.2373046875,8523.9775390625,8404.2041015625
2010-08-02,8444.1640625,8273.3349609375,8116.90966796875,8001.02392578125,7822.52685546875,7501.294921875,7237.81005859375,7032.33447265625,6942.478515625,6957.68115234375,7075.13818359375,7462.59228515625,7975.7509765625,8855.8818359375,9655.4638671875,10053.28125,10441.40625,10527.3056640625,10420.5966796875,10457.181640625,10416.853515625,10361.5830078125,10312.58203125,10209.115234375,10128.3564453125,10086.40234375,10014.1298828125,9977.044921875,9920.8115234375,9917.541015625,9834.9326171875,9864.48828125,9957.2822265625,10170.6494140625,10478.6650390625,10985.8564453125,11596.1494140625,11728.4677734375,11602.8896484375,11345.1591796875,11129.03515625,10956.1201171875,10708.2646484375,10343.17578125,9901.1005859375,9900.7880859375,9605.0654296875,9454.3798828125
2010-08-03,9465.947265625,9256.4912109375,9059.69140625,8897.8388671875,8649.015625,8250.787109375,7925.1123046875,7661.66357421875,7528.18505859375,7529.9921875,7671.0693359375,8137.10107421875,8751.8349609375,9723.4072265625,10644.8916015625,11063.9306640625,11473.9052734375,11526.0224609375,11369.6064453125,11313.5986328125,11234.1845703125,11141.8759765625,11040.35546875,10875.16796875,10783.4912109375,10707.326171875,10623.3251953125,10585.591796875,10512.33984375,10471.021484375,10430.123046875,10436.8134765625,10543.1845703125,10765.8671875,11134.0029296875,11671.85546875,12335.1376953125,12402.16796875,12308.2294921875,12039.3310546875,11836.296875,11652.4619140625,11391.9814453125,11045.0810546875,10590.55859375,10549.564453125,10197.3251953125,9996.484375
2010-08-04,9527.7880859375,9363.7890625,9137.2685546875,8965.576171875,8687.955078125,8286.439453125,7928.81298828125,7607.384765625,7440.4404296875,7397.97314453125,7494.42919921875,7824.15966796875,8273.8203125,9147.5166015625,9923.9365234375,10355.263671875,10774.5615234375,10902.7587890625,10753.09375,10774.3369140625,10660.482421875,10549.6455078125,10405.9755859375,10269.7021484375,10118.69921875,10038.111328125,9914.7509765625,9835.3759765625,9764.220703125,9744.0078125,9656.0634765625,9681.4384765625,9796.6484375,10025.044921875,10373.228515625,10943.7880859375,11645.642578125,11837.060546875,11766.0,11535.6787109375,11329.0205078125,11164.3173828125,10973.708984375,10647.955078125,10233.0712890625,10219.12109375,9881.611328125,9710.064453125
2010-08-05,9377.4599609375,9264.5556640625,9024.912109375,8855.3798828125,8574.693359375,8196.82421875,7839.0791015625,7489.16552734375,7319.93603515625,7276.2841796875,7377.291015625,7672.7021484375,8065.51611328125,8946.244140625,9672.119140625,10091.056640625,10476.4892578125,10609.7333984375,10418.80859375,10470.505859375,10330.2392578125,10206.666015625,10055.0869140625,9955.9052734375,9766.8046875,9696.4365234375,9554.8515625,9462.1162109375,9402.4736328125,9401.9814453125,9277.5244140625,9326.853515625,9438.0341796875,9664.8271484375,9977.837890625,10556.6845703125,11255.498046875,11514.9013671875,11446.5830078125,11247.6943359375,11035.1611328125,10874.1484375,10717.5712890625,10403.3603515625,9998.54296875,10013.4140625,9682.923828125,9538.759765625
2010-08-06,9551.640625,9406.6123046875,9175.4794921875,9010.0615234375,8730.3857421875,8323.880859375,7947.646484375,7590.74267578125,7401.8759765625,7331.09765625,7405.005859375,7671.5908203125,8045.8271484375,8899.3837890625,9635.0322265625,10072.0244140625,10504.654296875,10655.4521484375,10509.4833984375,10557.0322265625,10426.765625,10307.4716796875,10140.24609375,10012.6103515625,9831.4208984375,9743.2578125,9603.5927734375,9503.232421875,9434.806640625,9421.5390625,9310.5224609375,9344.6015625,9465.533203125,9711.3701171875,10073.2763671875,10692.447265625,11447.43359375,11707.51171875,11646.44921875,11413.8251953125,11202.1494140625,11048.0146484375,10891.044921875,10553.6123046875,10140.349609375,10137.962890625,9804.1474609375,9652.3955078125
2010-08-07,9622.8359375,9433.6611328125,9201.525390625,9010.41796875,8711.3720703125,8284.4677734375,7906.86669921875,7547.1904296875,7338.39404296875,7221.978515625,7233.26806640625,7375.27001953125,7616.3154296875,8252.1376953125,8839.1689453125,9291.154296875,9793.48046875,10060.3193359375,10058.0703125,10173.64453125,10064.0,9970.552734375,9784.826171875,9636.4296875,9456.7919921875,9351.0771484375,9210.6640625,9090.25,9012.85546875,8979.193359375,8894.3330078125,8914.025390625,9041.03125,9269.912109375,9651.7744140625,10232.3173828125,10980.5400390625,11273.0322265625,11230.6689453125,11002.0458984375,10802.73828125,10665.037109375,10533.353515625,10214.8095703125,9853.37109375,9830.9228515625,9525.4541015625,9382.1904296875
2010-08-08,9219.109375,8995.13671875,8797.1767578125,8641.140625,8390.83203125,7979.935546875,7621.73779296875,7299.919921875,7104.9462890625,6956.7744140625,6909.5595703125,6963.57470703125,7125.66845703125,7658.74462890625,8173.63916015625,8661.6826171875,9232.3759765625,9555.3251953125,9646.5400390625,9824.4677734375,9760.2841796875,9698.69921875,9537.0888671875,9377.71875,9224.8076171875,9117.6845703125,8993.77734375,8862.40234375,8782.1416015625,8752.291015625,8661.6171875,8684.5048828125,8817.693359375,9075.158203125,9487.5458984375,10103.037109375,10902.755859375,11234.390625,11158.2822265625,10896.4384765625,10684.8681640625,10566.44140625,10430.4912109375,10052.4736328125,9686.3583984375,9654.185546875,9368.2568359375,9237.2138671875
2010-08-09,8974.8154296875,8801.80078125,8632.0146484375,8529.8583984375,8334.71875,7967.58154296875,7648.32666015625,7378.21826171875,7247.291015625,7220.95703125,7323.04833984375,7705.0888671875,8237.3994140625,9229.8173828125,10114.6845703125,10557.353515625,10988.5849609375,11043.85546875,10866.150390625,10874.15625,10790.9267578125,10701.73828125,10610.8671875,10474.01953125,10358.7958984375,10296.896484375,10199.7744140625,10143.71875,10075.462890625,10066.07421875,9965.4287109375,9999.3369140625,10118.5234375,10391.599609375,10774.8525390625,11419.943359375,12184.9482421875,12373.0458984375,12237.6796875,11952.1982421875,11717.7890625,11553.4521484375,11320.1904296875,10902.15234375,10412.4033203125,10401.8779296875,10055.34375,9888.3525390625
2010-08-10,9336.130859375,9200.921875,8970.576171875,8789.8916015625,8511.76953125,8138.736328125,7808.4775390625,7505.37451171875,7366.71240234375,7370.91748046875,7516.421875,7921.173828125,8426.0634765625,9351.66015625,10155.4482421875,10540.3740234375,10885.8173828125,10970.3359375,10772.8916015625,10767.771484375,10644.74609375,10531.228515625,10411.2900390625,10299.166015625,10154.0400390625,10088.787109375,9970.5615234375,9910.1142578125,9851.1005859375,9836.6005859375,9752.248046875,9789.08984375,9881.11328125,10074.224609375,10368.4169921875,10872.576171875,11479.4306640625,11635.96875,11565.458984375,11367.5283203125,11169.30078125,10988.24609375,10786.2568359375,10496.580078125,10095.1953125,10099.0986328125,9771.4091796875,9605.5009765625
