,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-11-01,7248.369140625,7132.6943359375,6938.09716796875,6701.4287109375,6472.8212890625,6310.35546875,6206.3251953125,6147.65478515625,6184.40869140625,6342.11865234375,6525.333984375,6917.89990234375,7316.95947265625,7783.5595703125,8179.49267578125,8462.8359375,8675.4296875,8921.56640625,8977.373046875,9152.919921875,9188.970703125,9201.4345703125,9255.7568359375,9308.8173828125,9276.3349609375,9317.33984375,9292.3056640625,9294.2294921875,9289.85546875,9317.9990234375,9260.607421875,9311.0869140625,9317.7607421875,9291.677734375,9243.8974609375,9192.388671875,9193.0146484375,9181.548828125,9101.263671875,9054.0693359375,8919.275390625,8703.984375,8449.9228515625,8361.9072265625,8131.5673828125,8169.43017578125,8017.0859375,7895.32080078125
2010-11-02,7838.32861328125,7723.82861328125,7474.25927734375,7174.873046875,6868.38671875,6676.4208984375,6542.60107421875,6438.39697265625,6458.85009765625,6613.84033203125,6805.3095703125,7200.11376953125,7574.73583984375,8000.330078125,8347.0322265625,8631.6376953125,8828.5390625,9109.482421875,9149.3720703125,9318.091796875,9313.9345703125,9295.634765625,9316.150390625,9360.9677734375,9300.4765625,9327.94140625,9283.7919921875,9270.2890625,9265.2900390625,9279.48046875,9234.6484375,9294.7529296875,9292.6904296875,9232.4931640625,9149.0283203125,9034.7216796875,8977.076171875,8966.724609375,8916.0322265625,8929.109375,8818.603515625,8595.033203125,8361.8046875,8343.611328125,8166.6767578125,8194.9287109375,8025.94873046875,7883.90673828125
2010-11-03,7889.30517578125,7813.984375,7553.44775390625,7273.296875,6958.4423828125,6752.88232421875,6585.50146484375,6429.28173828125,6422.5537109375,6539.69482421875,6697.841796875,7004.10107421875,7277.2060546875,7706.85693359375,8010.2998046875,8303.5107421875,8503.5537109375,8804.5029296875,8809.5078125,9014.3740234375,8970.8564453125,8929.3828125,8919.330078125,8972.0283203125,8867.0927734375,8887.060546875,8801.81640625,8758.54296875,8749.423828125,8780.54296875,8691.65625,8774.8232421875,8780.79296875,8751.7666015625,8686.5859375,8669.83984375,8699.94921875,8807.1943359375,8756.55078125,8778.8056640625,8656.0478515625,8448.7333984375,8264.25390625,8223.9736328125,8051.84228515625,8109.08056640625,7940.0126953125,7817.34033203125
2010-11-04,7623.9716796875,7531.119140625,7300.24658203125,7006.93408203125,6727.04443359375,6550.63818359375,6444.009765625,6374.05908203125,6417.033203125,6632.94921875,6900.3203125,7428.21337890625,7942.119140625,8497.7978515625,8973.1689453125,9186.3037109375,9295.55078125,9475.015625,9449.0625,9538.43359375,9535.369140625,9519.234375,9566.2861328125,9617.0244140625,9581.982421875,9622.478515625,9593.3037109375,9614.8017578125,9618.6689453125,9631.40625,9607.787109375,9655.4775390625,9633.095703125,9546.2451171875,9449.5234375,9295.1826171875,9173.939453125,9071.671875,9032.6591796875,9036.171875,8926.30859375,8681.642578125,8417.7841796875,8416.462890625,8220.33984375,8264.0693359375,8104.0126953125,7968.40771484375
2010-11-05,7671.033203125,7573.60205078125,7347.1474609375,7058.09033203125,6783.044921875,6600.20849609375,6489.52734375,6418.8564453125,6458.88916015625,6674.66015625,6947.6865234375,7493.68212890625,8033.240234375,8620.8876953125,9131.7109375,9342.998046875,9453.658203125,9614.45703125,9578.400390625,9649.7529296875,9645.7138671875,9628.7607421875,9674.0478515625,9715.271484375,9682.8115234375,9720.271484375,9693.244140625,9718.5,9719.7578125,9728.11328125,9709.728515625,9753.076171875,9733.4755859375,9653.9130859375,9574.6845703125,9439.0185546875,9337.5712890625,9224.6494140625,9185.7197265625,9175.759765625,9063.01953125,8817.6171875,8547.177734375,8535.6904296875,8326.5478515625,8367.591796875,8200.921875,8062.53173828125
2010-11-06,7861.0595703125,7783.82568359375,7530.78759765625,7250.81982421875,6944.341796875,6740.921875,6581.447265625,6440.80517578125,6441.2451171875,6578.8251953125,6763.220703125,7125.03857421875,7460.04296875,7935.6279296875,8294.255859375,8565.7568359375,8743.638671875,9007.26953125,8996.3046875,9165.9052734375,9127.7724609375,9089.724609375,9088.314453125,9136.326171875,9045.587890625,9067.3671875,8992.068359375,8964.5712890625,8955.94140625,8982.0068359375,8908.28515625,8981.1318359375,8982.666015625,8944.748046875,8881.8759765625,8849.7529296875,8859.0205078125,8918.9541015625,8873.865234375,8885.6533203125,8764.2900390625,8548.7744140625,8346.943359375,8312.05078125,8129.2626953125,8185.33203125,8016.17626953125,7890.22216796875
2010-11-07,7473.044921875,7388.65087890625,7160.2138671875,6915.716796875,6643.52197265625,6455.72119140625,6306.7236328125,6181.55126953125,6180.49853515625,6282.0712890625,6402.2265625,6644.16943359375,6862.89111328125,7224.640625,7479.662109375,7788.44921875,8025.25,8357.931640625,8424.009765625,8677.0859375,8667.6220703125,8654.001953125,8662.083984375,8724.736328125,8636.3525390625,8664.1259765625,8585.7529296875,8540.826171875,8529.1845703125,8573.08984375,8471.7197265625,8547.330078125,8562.1748046875,8550.052734375,8498.912109375,8506.9599609375,8565.5439453125,8697.2509765625,8629.7548828125,8623.8662109375,8488.634765625,8295.19140625,8110.400390625,8034.8330078125,7852.1982421875,7912.97607421875,7769.96044921875,7660.6025390625
2010-11-08,7100.78369140625,7010.42431640625,6814.90087890625,6573.4052734375,6349.1298828125,6204.181640625,6119.515625,6073.63525390625,6125.755859375,6320.21044921875,6545.4580078125,6993.80517578125,7442.62060546875,7954.2568359375,8380.333984375,8625.904296875,8778.6142578125,8988.6455078125,9004.6728515625,9156.158203125,9187.125,9198.4482421875,9267.546875,9339.482421875,9311.7451171875,9365.9140625,9343.5498046875,9359.23046875,9364.00390625,9397.6865234375,9342.5771484375,9395.560546875,9387.08203125,9336.146484375,9253.6015625,9155.634765625,9094.19921875,9047.2607421875,8973.5634765625,8944.798828125,8813.0498046875,8586.2919921875,8325.080078125,8263.4296875,8038.701171875,8091.29541015625,7947.7392578125,7834.2138671875
2010-11-09,7510.67041015625,7384.9404296875,7163.0556640625,6849.48876953125,6576.5341796875,6415.6591796875,6345.8330078125,6333.0654296875,6403.45703125,6662.146484375,6964.314453125,7570.43408203125,8171.7548828125,8701.337890625,9199.8564453125,9395.1318359375,9486.9814453125,9657.2421875,9670.3486328125,9730.759765625,9768.185546875,9777.90234375,9856.7568359375,9906.0595703125,9917.3203125,9967.6669921875,9975.7177734375,10025.603515625,10033.6865234375,10034.359375,10054.2802734375,10075.8798828125,10040.9326171875,9913.8310546875,9786.671875,9518.9609375,9289.1337890625,9066.3388671875,9033.9111328125,9037.1279296875,8941.17578125,8680.859375,8373.173828125,8406.427734375,8220.7763671875,8240.990234375,8092.5927734375,7941.4091796875
2010-11-10,7701.8251953125,7573.4638671875,7340.59716796875,7032.29833984375,6743.39794921875,6559.25634765625,6457.2978515625,6401.0478515625,6443.39697265625,6649.77294921875,6895.169921875,7393.46484375,7883.70166015625,8349.185546875,8776.603515625,9014.7939453125,9163.640625,9393.7861328125,9434.431640625,9544.8388671875,9567.306640625,9565.8349609375,9614.46875,9654.86328125,9637.4404296875,9673.6083984375,9657.453125,9675.4951171875,9676.5009765625,9679.919921875,9674.87890625,9709.1513671875,9689.568359375,9594.1923828125,9496.974609375,9301.04296875,9158.0048828125,9029.1015625,8992.4609375,8994.2080078125,8892.98828125,8650.328125,8377.927734375,8385.7705078125,8207.0869140625,8226.390625,8070.6728515625,7923.2822265625
