,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-11-01,7116.07,7023.8,6878.48,6652.92,6415.0,6368.08,6281.87,6273.58,6400.9,6604.8,6979.43,7526.51,8151.64,8499.45,8918.12,9095.97,9194.49,9387.34,9475.39,9516.34,9545.68,9459.76,9463.35,9361.44,9208.69,9274.05,9329.02,9247.31,9170.94,9109.72,9198.29,9277.3,9393.95,9493.5,9559.92,9475.2,9414.3,9300.03,9211.07,9013.36,8816.43,8466.38,8234.49,8274.47,8122.91,8122.73,8020.09,7916.48
2010-11-02,7787.33,7593.86,7399.73,7109.7,6826.91,6577.29,6475.83,6423.01,6474.8,6733.86,7086.07,7710.36,8349.96,8713.41,9119.37,9168.66,9214.4,9277.09,9361.04,9432.07,9375.67,9279.19,9240.09,9139.6,8996.41,8900.53,8875.11,8845.58,8739.38,8579.21,8756.12,8792.16,8834.68,8877.52,8914.19,8791.11,8800.2,8800.43,8920.21,8928.24,8762.43,8483.47,8235.88,8208.41,8077.99,8102.67,7976.04,7890.84
2010-11-03,7800.91,7652.09,7447.8,7132.81,6823.17,6602.27,6473.91,6469.58,6520.02,6760.63,7021.78,7619.97,8258.32,8576.42,8927.13,8900.83,8944.78,9023.74,9079.68,9071.5,9088.94,9031.33,9016.86,8990.47,8886.54,8876.13,8941.5,8969.8,8976.31,8890.72,8876.5,8913.71,8932.18,8900.63,8896.22,8800.94,8852.9,8879.51,8987.12,8912.6,8762.61,8563.04,8305.8,8285.14,8133.25,8132.35,8046.54,7913.71
2010-11-04,7794.35,7619.99,7393.5,7118.02,6854.24,6601.34,6439.86,6418.14,6463.53,6652.2,7018.87,7580.98,8157.48,8561.8,8963.39,9061.61,9060.38,9172.83,9215.6,9270.65,9277.25,9203.45,9169.63,9037.94,8984.15,9000.73,8961.98,8923.96,8905.88,8850.3,8804.39,8854.27,8888.38,8958.44,9081.59,9094.09,9144.86,9103.71,9221.38,9166.39,9009.13,8721.97,8408.84,8432.61,8169.45,8135.81,7918.63,7594.1
2010-11-05,7736.13,7577.32,7393.62,7107.97,6789.57,6625.85,6471.4,6422.96,6501.78,6739.84,7022.35,7582.47,8248.62,8708.18,9094.42,9203.91,9177.71,9252.87,9298.39,9303.26,9250.76,9159.35,9102.34,9083.93,8993.81,8969.66,8898.95,8889.24,8861.15,8723.84,8745.68,8774.23,8820.02,8841.96,8923.19,8796.82,8807.22,8911.2,8975.34,8947.25,8794.62,8560.32,8330.88,8399.84,8279.34,8315.62,8180.02,7991.13
2010-11-06,7783.96,7646.12,7390.75,7107.84,6812.95,6513.24,6400.92,6286.04,6291.83,6359.52,6462.75,6623.78,6791.3,7223.99,7579.43,8107.61,8427.65,8666.25,8734.14,8842.97,8752.87,8667.34,8589.88,8456.93,8350.84,8243.41,8158.73,8080.14,8056.93,7956.93,7928.44,7942.94,7999.56,7959.4,8069.97,8160.03,8158.53,8243.42,8312.03,8283.33,8215.54,8032.39,7839.28,7837.97,7724.35,7727.79,7555.09,7364.88
2010-11-07,7210.23,7097.46,6944.89,6689.52,6461.3,6304.55,6147.68,6083.15,6079.75,6130.11,6181.53,6282.79,6417.29,6721.75,7098.29,7448.86,7730.09,7954.27,8085.83,8160.05,8142.03,8101.08,8067.25,8042.15,7916.85,7821.24,7774.89,7739.43,7718.78,7731.77,7801.17,7820.4,7845.88,7784.93,7870.86,8036.68,8078.03,8102.46,8319.75,8390.47,8282.81,8066.75,7817.01,7686.87,7563.9,7463.13,7330.59,7149.39
2010-11-08,7052.95,6913.58,6788.68,6582.76,6380.3,6278.06,6210.0,6213.21,6308.23,6558.55,6804.68,7373.36,7933.19,8325.09,8710.21,8857.23,8961.99,9108.83,9261.3,9353.06,9408.75,9508.32,9465.06,9483.42,9562.94,9636.7,9689.51,9700.59,9606.92,9506.39,9530.9,9514.38,9566.46,9545.11,9542.9,9336.34,9261.45,9131.76,9111.05,9036.12,8789.58,8461.44,8225.61,8269.06,8125.07,8080.44,8016.67,7851.65
2010-11-09,7741.46,7570.01,7364.12,7062.73,6788.14,6590.26,6421.95,6451.21,6529.16,6723.0,7021.55,7576.4,8177.75,8528.2,8921.17,9042.19,9068.29,9229.25,9253.9,9361.49,9513.9,9505.38,9510.79,9535.21,9481.19,9493.68,9509.17,9515.82,9464.08,9398.22,9449.79,9458.99,9470.84,9404.97,9359.33,9152.89,9075.33,8992.47,9094.21,9039.11,8859.52,8604.99,8335.43,8402.32,8211.05,8204.3,8064.03,7894.22
2010-11-10,7748.37,7573.66,7383.62,7042.95,6767.02,6509.36,6430.11,6457.07,6513.97,6736.5,7048.62,7602.52,8206.26,8577.22,8985.49,9114.03,9255.94,9426.91,9629.97,9699.19,9778.92,9806.81,9869.94,9910.41,9837.32,9893.42,9941.2,9935.04,9980.1,9879.3,9802.65,9747.06,9683.05,9641.94,9506.19,9268.42,9136.95,9081.97,9124.28,9082.93,8915.0,8674.95,8355.58,8350.25,8141.54,8128.71,7972.76,7770.94
