date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2004/1/1,42.36363636,41.27272727,39.63636364,36.27272727,34.63636364,34.72727273,32.63636364,31.45454545,32.45454545,38.81818182,45.90909091,50.63636364,54.18181818,55.72727273,56.72727273,57.09090909,55.36363636,50.45454545,44.72727273,41.54545455,40.27272727,38.72727273,39.90909091,40.63636364
2004/1/2,41.54545455,42.18181818,43.45454545,44.36363636,45.09090909,44.90909091,45.36363636,45.09090909,45.45454545,45.90909091,47.45454545,49.36363636,50.72727273,52.81818182,54.18181818,55.81818182,56.18181818,52.81818182,49.36363636,47.72727273,46.36363636,45.36363636,46.18181818,45.90909091
2004/1/3,45.81818182,46.81818182,45.81818182,45.72727273,45.54545455,45.27272727,45.72727273,46.36363636,47.72727273,51.63636364,56.54545455,61,66.09090909,68.90909091,70.54545455,70.72727273,69.36363636,66.45454545,63.45454545,62.18181818,61.36363636,61.36363636,61.09090909,60.81818182
2004/1/4,61,60.45454545,60.54545455,60.63636364,60.09090909,60.09090909,59.81818182,59.72727273,59.63636364,61.27272727,63.36363636,66.27272727,68.54545455,69.27272727,69.18181818,69.09090909,68.18181818,66.18181818,63.72727273,62.09090909,60.09090909,58.54545455,58.90909091,58.36363636
2004/1/5,58.54545455,57.81818182,57.72727273,57.81818182,57.90909091,58.18181818,57.90909091,58.27272727,57,57.81818182,58,58.09090909,58.27272727,58.45454545,57.90909091,57.90909091,57.63636364,56.27272727,54.54545455,52.27272727,50.72727273,49.09090909,47.36363636,44.45454545
2004/1/6,43.18181818,42.54545455,40.72727273,39.90909091,38.27272727,37.27272727,36,34.90909091,34.72727273,37.18181818,39.63636364,40.63636364,41.81818182,41.90909091,41.90909091,41.90909091,40.36363636,37.09090909,35.18181818,33.18181818,30.72727273,29.09090909,27.36363636,26.36363636
2004/1/7,24.72727273,24,23.09090909,21.90909091,21.27272727,20.63636364,20,19.45454545,19.63636364,21.90909091,23.72727273,25.72727273,27.27272727,29.27272727,30.36363636,31.09090909,30.72727273,29.45454545,27.81818182,26.81818182,26.09090909,25.36363636,24.36363636,23.63636364
2004/1/8,23.18181818,23.63636364,22.81818182,22.27272727,22.54545455,22.36363636,22.09090909,20.90909091,21.63636364,26.09090909,30,32.63636364,33.63636364,34.36363636,34.72727273,34.81818182,34.81818182,33.90909091,32.27272727,31.54545455,30.81818182,30.54545455,30.27272727,30.27272727
2004/1/9,30.27272727,30.27272727,30.09090909,29.90909091,29.90909091,29.81818182,29.36363636,29.27272727,29,29.54545455,29.90909091,30.72727273,31.09090909,31.63636364,31.27272727,31.18181818,30.36363636,29.72727273,28.45454545,28,26.90909091,25.72727273,24.54545455,23.63636364
2004/1/10,21.90909091,20.45454545,18.90909091,16.90909091,15.81818182,15.18181818,14.36363636,13.27272727,12.90909091,12.90909091,14.81818182,16.72727273,18.36363636,19.81818182,20.90909091,21.36363636,21.09090909,20.18181818,17.81818182,15.81818182,14.45454545,13.36363636,12.63636364,11.72727273
