,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2008-05-01,783792.0,764125.0,762884.0,775016.0,819734.0,888203.0,995798.0,1028876.0,984180.0,973592.0,971260.0,961657.0,948008.0,928580.0,911817.0,896480.0,896083.0,892900.0,902191.0,916604.0,979197.0,964374.0,885165.0,799110.0
2008-05-02,750671.0,727100.0,717096.0,721083.0,737287.0,799848.0,888603.0,928797.0,927605.0,921145.0,918506.0,913718.0,916947.0,916394.0,906634.0,881353.0,887420.0,896229.0,889901.0,904930.0,940838.0,919096.0,869809.0,791197.0
2008-05-03,723507.0,676411.0,660291.0,671355.0,674463.0,688195.0,705271.0,762085.0,825539.0,858513.0,877120.0,894636.0,895564.0,895913.0,894745.0,896129.0,903343.0,907553.0,887679.0,887854.0,911783.0,890088.0,811548.0,743053.0
2008-05-04,681410.0,642655.0,625746.0,624807.0,618755.0,627185.0,649605.0,711517.0,789950.0,842494.0,853127.0,848778.0,830993.0,830186.0,831741.0,842316.0,855301.0,862804.0,863043.0,873457.0,937137.0,910270.0,821054.0,736002.0
2008-05-05,682020.0,661260.0,649587.0,639825.0,671237.0,747529.0,860814.0,927078.0,937599.0,933580.0,933972.0,935290.0,933151.0,927861.0,934652.0,936436.0,951031.0,972761.0,980344.0,979697.0,1012881.0,980569.0,885746.0,797050.0
2008-05-06,738065.0,704419.0,688235.0,682697.0,708267.0,773445.0,878583.0,940685.0,935154.0,940016.0,940857.0,947656.0,955730.0,961749.0,962696.0,958012.0,912850.0,923046.0,945000.0,986291.0,1015766.0,990670.0,894658.0,802997.0
2008-05-07,739954.0,716450.0,704251.0,705120.0,720486.0,783642.0,885017.0,943033.0,933647.0,938409.0,958043.0,966375.0,988795.0,985077.0,947289.0,960787.0,972365.0,973077.0,999199.0,1029111.0,1060141.0,1036909.0,951008.0,854226.0
2008-05-08,795662.0,761852.0,748649.0,740593.0,755131.0,805707.0,905476.0,967833.0,963592.0,980043.0,992576.0,986279.0,985140.0,978469.0,972316.0,971651.0,962744.0,959089.0,967285.0,989391.0,1021721.0,978039.0,905125.0,810544.0
2008-05-09,754421.0,720732.0,709369.0,714344.0,726817.0,774803.0,882993.0,945146.0,946112.0,954113.0,961014.0,957456.0,947185.0,937401.0,927197.0,918876.0,916907.0,914274.0,908894.0,909209.0,922406.0,899485.0,842295.0,765073.0
2008-05-10,715459.0,693053.0,675071.0,668703.0,668899.0,685065.0,726927.0,787789.0,849401.0,893575.0,897436.0,886383.0,862805.0,841587.0,819555.0,815311.0,816839.0,823105.0,824604.0,825248.0,867803.0,867239.0,811944.0,748622.0
2008-05-11,688879.0,662415.0,647124.0,648369.0,656907.0,668443.0,713557.0,781537.0,855035.0,891083.0,891501.0,883315.0,884236.0,868385.0,839026.0,836749.0,863585.0,891578.0,905142.0,926691.0,960690.0,926428.0,851076.0,792357.0
2008-05-12,744457.0,731058.0,745569.0,753763.0,786073.0,848301.0,974217.0,1038176.0,1040542.0,1055186.0,1062880.0,1046563.0,1044592.0,1032011.0,1011535.0,1024746.0,1047436.0,1077669.0,1101008.0,1106508.0,1118861.0,1076911.0,985942.0,912196.0
2008-05-13,858916.0,837472.0,814407.0,817705.0,850699.0,921422.0,1033515.0,1059943.0,1010778.0,984586.0,961305.0,955414.0,947592.0,952239.0,948784.0,943585.0,946454.0,963762.0,969051.0,978981.0,998803.0,983621.0,892514.0,801251.0
2008-05-14,749509.0,743736.0,731634.0,740984.0,766966.0,832893.0,897588.0,925715.0,894453.0,879860.0,886033.0,894812.0,943058.0,948871.0,948727.0,938457.0,944430.0,950852.0,945771.0,975445.0,1010867.0,974262.0,889027.0,802686.0
2008-05-15,737187.0,718645.0,710803.0,714737.0,733532.0,791248.0,896973.0,952371.0,951325.0,961984.0,960544.0,977166.0,973108.0,991545.0,991454.0,984690.0,988231.0,986211.0,990117.0,1007396.0,1035439.0,1004883.0,921674.0,834511.0
2008-05-16,772709.0,742188.0,720870.0,720722.0,734040.0,783400.0,889606.0,943008.0,940778.0,938929.0,944110.0,951404.0,942287.0,934984.0,941384.0,933752.0,937730.0,940383.0,938269.0,922261.0,948657.0,929906.0,878890.0,798062.0
2008-05-17,747792.0,709460.0,696774.0,695455.0,702736.0,720915.0,756170.0,805902.0,848467.0,861756.0,855297.0,848022.0,844719.0,835950.0,832491.0,827206.0,838327.0,857986.0,856661.0,856090.0,876654.0,873363.0,821338.0,745078.0
2008-05-18,674859.0,642360.0,631055.0,619687.0,622525.0,644314.0,660021.0,720838.0,783523.0,838962.0,863392.0,864849.0,875329.0,868229.0,835508.0,828754.0,835504.0,840099.0,849250.0,865839.0,916981.0,904677.0,828712.0,754214.0
2008-05-19,718440.0,696821.0,685431.0,694443.0,700460.0,761749.0,866964.0,935540.0,942917.0,951248.0,945764.0,932947.0,929382.0,921899.0,914354.0,909514.0,918423.0,925050.0,934493.0,936501.0,973729.0,976008.0,886259.0,823054.0
2008-05-20,765037.0,742161.0,728837.0,734396.0,759614.0,820652.0,935071.0,986453.0,986935.0,985375.0,986653.0,984630.0,976318.0,980105.0,969595.0,954196.0,944255.0,972728.0,988350.0,990860.0,1003313.0,985148.0,913321.0,831801.0
2008-05-21,770411.0,750058.0,748657.0,746529.0,778857.0,848808.0,951466.0,1001347.0,973516.0,949497.0,949439.0,935082.0,931512.0,930755.0,918638.0,913315.0,928451.0,958048.0,960011.0,968717.0,999521.0,964116.0,886531.0,810992.0
2008-05-22,755982.0,737532.0,731228.0,738897.0,776381.0,850347.0,953069.0,999503.0,971274.0,960002.0,957231.0,955489.0,948722.0,935753.0,928153.0,914140.0,915844.0,919771.0,923273.0,930252.0,965762.0,960423.0,878710.0,792735.0
2008-05-23,734650.0,711727.0,706724.0,726806.0,746488.0,803133.0,910316.0,962958.0,947419.0,940288.0,920719.0,909361.0,908392.0,906796.0,907705.0,916874.0,917412.0,915625.0,899064.0,897995.0,922644.0,916423.0,857937.0,778003.0
2008-05-24,707145.0,678099.0,660725.0,658590.0,653516.0,665551.0,697207.0,758787.0,819674.0,858111.0,864658.0,856368.0,851298.0,857705.0,853306.0,855764.0,866304.0,882671.0,878047.0,860044.0,872344.0,871886.0,809369.0,735634.0
2008-05-25,663069.0,628729.0,621057.0,607460.0,620957.0,630401.0,647020.0,711160.0,787109.0,832788.0,851127.0,854275.0,854861.0,851581.0,855373.0,868604.0,882663.0,897517.0,889458.0,870922.0,876110.0,882494.0,819412.0,736675.0
