date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,temp1,temp2,temp3
2015-07-02,77437,72863,69862,67951,67153,68405,71204,75033,78999,82401,85489,88452,90991,93456,95601,97046,97627,97675,96420,93971,91118,89650,87493,81759,68.0,63.9,69.9
2015-07-03,75509,70928,67829,65731,64468,64617,65541,66816,70175,75011,79584,83066,85636,87807,89648,90947,91958,92516,92032,89891,86886,85254,83291,78879,72.2,66.5,71.9
2015-07-04,73880,69170,65909,63747,62427,61990,61749,61924,65173,70371,75670,80105,83562,85799,87258,88461,89592,90115,89556,87362,84060,81616,79465,76962,76.0,71.9,73.3
2015-07-05,73499,69123,65684,63407,62006,61741,61426,61889,65234,70541,76446,81560,86259,90197,93245,95468,97478,98745,98773,97116,94393,93023,90712,84847,78.4,73.5,74.2
2015-07-06,78546,73890,70589,68627,68070,69453,72763,77737,83383,88690,93981,99120,103833,107512,110262,111839,112499,112783,111767,109311,105673,103647,100323,93076,69.0,72.9,74.8
2015-07-07,86034,80824,77258,75037,74129,75144,78335,82385,86842,90765,93967,97057,98746,99626,100269,99832,99402,98749,96977,94756,92471,91560,89363,83322,62.5,62.9,62.70000000000001
2015-07-08,77171,72925,70227,68448,67878,68970,72026,75985,80518,84230,87774,90355,92526,94401,95930,96277,96020,95956,95334,93915,91916,91451,89410,83755,66.3,66.6,69.4
2015-07-09,78238,73926,71250,69507,68835,69973,73409,77383,81700,85628,89224,92748,95552,98083,100416,101715,102551,103118,102139,100017,97491,96180,93680,87363,71.5,68.9,68.0
2015-07-10,80766,75865,72397,70305,69573,70541,73469,77469,82450,87564,92232,96722,100181,103080,105469,106781,107510,107379,106108,103649,99944,97737,95245,88978,73.7,72.6,68.9
2015-07-11,82316,76903,72889,70402,68767,68548,68868,70034,74298,80461,86703,92067,96248,99288,101784,103467,104678,105107,104810,103044,100015,97998,95719,89981,75.0,74.6,76.0
2015-07-12,83871,78797,74957,72274,70516,69713,69469,69689,73877,80646,87193,93152,98409,102802,106271,108904,111202,112870,113687,112595,109427,107073,104245,97067,78.0,72.1,74.2
2015-07-13,89327,83638,79680,77046,76107,77070,80182,84738,90907,97204,102975,108409,113210,116463,118945,120704,122187,123397,123209,121243,117666,114724,110211,101798,78.0,73.8,77.6
2015-07-14,93673,87630,83289,80504,78935,79711,82658,86918,93130,99060,104546,109894,114176,117422,120040,121332,121783,121281,119640,116419,111897,108665,105050,96908,68.2,67.0,72.1
2015-07-15,88778,82943,78749,75902,74533,74871,77711,81473,86557,91246,95921,100239,104247,107528,110337,112361,113188,113265,110989,109453,105890,103795,100396,93295,69.4,65.2,71.9
2015-07-16,85847,80466,76694,74337,73306,74159,77337,81414,86440,91336,95977,100537,104203,107221,110184,112113,113061,113359,112322,110329,107651,106087,102648,95816,80.0,74.2,77.6
2015-07-17,88916,83677,79987,77646,76455,77552,81033,85255,91263,97740,104061,109864,114918,118909,122148,124247,124706,124482,123338,120474,116570,113478,109784,102305,82.5,78.8,77.3
2015-07-18,94666,88285,83239,79744,77691,76960,77423,78550,83807,91154,98727,105039,109763,112737,114884,116780,118213,118989,118459,116006,112445,109147,105748,99095,82.1,79.0,80.6
2015-07-19,92204,86237,81850,78613,76536,75476,74689,75363,79774,86310,92419,97679,101922,105476,108324,110653,112191,113408,113766,112136,108763,106145,102640,95715,77.6,74.3,78.2
2015-07-20,88636,83321,79606,77232,76159,77328,80580,85350,91300,97175,102545,107488,111490,114787,117486,118837,119064,119037,117837,115430,112031,109212,105179,97247,77.1,74.1,76.0
2015-07-21,89623,83917,79886,77398,76218,77135,80242,84182,89514,94692,99545,104358,108071,110952,113400,114790,115454,115334,114149,111581,107542,104766,101100,93435,75.9,69.3,71.9
2015-07-22,85890,80446,76645,74398,73296,74268,77346,81446,86587,91541,96344,101053,104782,108158,111132,113007,113653,113821,112842,110436,106839,104531,100929,93645,77.7,71.1,74.7
2015-07-23,86396,81023,77268,74850,73905,74870,78095,82278,87382,93055,98640,104011,108495,112516,115822,118293,119741,120361,119905,117087,113093,110127,106275,98244,79.2,76.3,75.8
2015-07-24,90438,84376,80254,77443,75931,76836,79650,83617,89247,95091,101255,106886,111858,116057,119263,121348,122683,123096,121920,118890,114454,111063,106909,99397,80.8,78.1,76.7
2015-07-25,91649,85676,81064,77901,75821,75399,75633,76826,81598,88515,95309,100997,106221,110317,113361,115903,117796,118034,116998,113934,109821,106967,103061,96316,77.4,76.8,79.7
2015-07-26,89419,83823,79417,76473,74248,73117,72805,73092,77334,84113,90827,96428,101571,106053,109302,111729,113484,114801,114771,113042,109760,107465,104135,96985,80.3,76.8,76.2
2015-07-27,89658,84176,80414,77978,77029,78350,81943,86403,92710,99269,106011,112733,118332,122948,126453,128308,129541,129593,127984,125294,121031,118069,112849,104225,82.9,78.3,81.3
2015-07-28,95773,89529,84939,81871,80312,80970,84398,88867,94535,101632,107957,114499,120063,124726,127844,129763,130186,129622,128040,125543,121951,118909,113617,104973,83.3,79.1,82.4
2015-07-29,96620,90439,85892,83124,81772,82609,86152,90235,95332,101049,107343,113390,118212,121954,125526,127321,127307,126909,124933,121478,116629,112959,108041,99520,80.0,76.1,76.4
2015-07-30,91156,85434,81119,78215,76905,77636,80767,84422,89852,95563,101040,106989,111811,115672,118877,121231,122354,121739,119409,116253,111805,108824,104555,96356,80.7,75.8,77.1
2015-07-31,88488,82649,78673,75940,74677,75350,78390,82480,88112,94215,100166,105324,109882,113589,116757,118562,119724,119764,118402,114785,109177,105352,100805,93272,78.2,72.9,74.6
2015-08-01,85811,79913,75543,72434,70574,69901,70271,70930,75304,81939,88187,93598,98157,101740,104693,107246,109141,110585,110471,108133,103928,100950,96882,89951,82.5,74.9,75.0
2015-08-02,83389,78086,74317,71502,69780,68797,68781,68952,73452,80574,88224,95069,101378,106928,110827,113876,116219,117607,117593,115124,110950,107833,102249,94032,77.8,70.8,79.5
2015-08-03,86546,81092,76988,74589,73666,74536,78084,81743,87078,92668,98424,103984,108707,112846,116101,117774,118449,118491,117444,114846,110540,107917,103043,94772,75.0,69.4,74.2
2015-08-04,87199,81626,77574,74926,73668,74662,78030,81584,86451,91513,96564,102025,106352,109900,112817,114542,115163,114653,112982,110155,106551,104781,100482,92955,75.6,67.8,74.8
2015-08-05,85784,80957,77362,75137,74131,75268,78882,82675,87071,91599,96258,100769,104684,108338,110954,111831,111703,111064,109953,107494,104200,103161,98982,91780,76.2,67.9,70.1
2015-08-06,85412,80677,77321,74963,74291,75426,79143,83161,86791,90789,94899,98632,101868,104598,107299,109138,110393,110516,109305,106905,103857,102807,98752,91961,76.4,68.3,69.7
2015-08-07,85478,80330,76937,74581,73494,74595,78212,82029,86322,91034,95641,99997,103874,107424,110700,112830,113924,114277,113019,110166,106195,104552,100245,93292,78.1,70.5,73.9
2015-08-08,86621,81318,77533,74897,73160,72895,73688,74396,77508,83072,88757,93713,97673,100839,103047,104471,105833,106649,106228,103885,100934,100216,96480,90408,74.6,73.4,75.1
