,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021-05-01,65719.984375,63442.97265625,61783.65234375,60912.44921875,60401.28515625,61073.30078125,62739.2890625,65184.4609375,67795.7734375,70276.375,71731.5234375,72836.3125,73647.4375,74223.9609375,74782.671875,74857.59375,74867.9296875,75612.171875,75911.65625,76423.4453125,76885.578125,76582.1953125,74023.6328125,70231.3984375
2021-05-02,64491.5078125,62254.59765625,60756.6171875,59960.75,59837.56640625,60727.95703125,62561.8203125,66083.5703125,68275.875,70260.8828125,71982.8359375,73183.6171875,74275.0546875,75107.03125,75724.953125,76113.8515625,76521.2265625,77186.8046875,77851.34375,78307.4375,78504.2734375,78154.34375,75257.84375,70957.1875
2021-05-03,64223.109375,62057.6640625,60848.53515625,60254.73828125,60262.81640625,61826.19921875,65125.33203125,70442.3046875,72993.4921875,74155.71875,75117.03125,75968.2421875,76841.21875,77359.140625,78005.9921875,78058.671875,78138.109375,78643.53125,79052.125,79682.3671875,80224.53125,79546.09375,76297.6484375,71789.6875
2021-05-04,67261.3828125,64860.53515625,63495.51953125,62674.93359375,62744.54296875,64532.94140625,69126.53125,75496.765625,78086.7421875,78567.921875,79020.7578125,79499.3046875,79685.8359375,79910.9296875,80174.1015625,79961.4609375,79574.7421875,79613.9609375,79713.484375,80052.5546875,80366.046875,79509.5078125,76346.2734375,71898.7421875
2021-05-05,65606.1015625,63263.26953125,61672.5,60684.91015625,60436.00390625,60713.08984375,61347.44921875,62586.36328125,64203.625,66563.2578125,68156.9453125,68561.3828125,68601.71875,68580.1875,68336.7734375,68486.296875,68607.21875,69404.3515625,70372.75,71262.921875,72137.8125,72321.4765625,70376.4296875,67237.4140625
2021-05-06,65433.6875,63171.09765625,61714.74609375,60893.7265625,60767.8828125,61288.265625,62410.6484375,64371.45703125,66012.5390625,68147.53125,69530.71875,69887.0078125,69856.5234375,69835.9609375,69554.8984375,69594.3671875,69812.6953125,70537.53125,71619.6953125,72588.5625,73381.453125,73334.34375,71217.34375,67990.09375
2021-05-07,65974.3203125,63702.91015625,62196.06640625,61389.22265625,61190.6640625,61686.25390625,62901.796875,64908.18359375,66577.1484375,68693.609375,69999.265625,70357.9296875,70274.4296875,70229.34375,69910.0,69852.1171875,70052.875,70768.78125,71824.0546875,72747.890625,73566.9609375,73496.0,71377.7265625,68201.59375
2021-05-08,65368.24609375,63095.5703125,61608.4296875,60727.28515625,60671.88671875,60947.03125,61590.125,62827.14453125,64257.8984375,66571.078125,68207.6328125,68469.984375,68303.109375,68260.984375,67853.8828125,68082.125,68231.9296875,69042.8046875,70246.984375,71318.390625,72071.7421875,72311.59375,70424.78125,67312.8671875
2021-05-09,64148.3125,62044.09765625,60745.2109375,60008.6015625,59918.7734375,60350.10546875,61108.3359375,62713.61328125,64250.66796875,66418.6640625,67795.890625,68080.5703125,67970.046875,67932.171875,67648.0703125,67789.84375,67993.546875,68885.15625,70201.2421875,71449.2265625,72474.359375,72664.1328125,70621.4296875,67461.5546875
2021-05-10,64414.875,62269.97265625,61063.921875,60355.2265625,60511.90625,61151.37890625,62437.046875,64593.265625,66043.0390625,68014.3828125,69474.34375,69613.453125,69319.28125,69365.6015625,68914.875,69155.4140625,69301.1015625,69997.765625,71199.84375,72424.078125,73069.6796875,73254.609375,71173.9921875,67761.46875
2021-05-11,66012.96875,63815.171875,62486.390625,61687.15234375,61571.33984375,62444.91796875,64464.4140625,67450.1171875,69419.1875,71121.3671875,72082.6328125,72345.515625,72254.1171875,72110.2890625,71877.328125,71656.3515625,71665.984375,72291.0,73110.421875,74005.5625,74939.8203125,74773.28125,72411.0234375,68970.1640625
2021-05-12,65450.26953125,63155.41796875,61697.28125,60806.234375,60602.61328125,61236.16796875,62454.03125,64578.39453125,66332.6875,68457.90625,69863.0078125,70300.0625,70353.4296875,70454.1875,70270.359375,70306.65625,70508.609375,71158.3515625,72020.078125,72836.4453125,73571.1328125,73571.2265625,71383.0390625,67974.40625
2021-05-13,65051.7578125,62745.21875,61343.203125,60378.21484375,60272.1171875,60986.640625,62142.96484375,64327.64453125,66121.3125,68287.0078125,69960.8359375,70513.0703125,70648.4140625,70983.1640625,70965.2890625,71185.8671875,71415.1875,71983.71875,72824.6171875,73532.0546875,74024.9765625,74127.7578125,71905.734375,68301.53125
2021-05-14,65091.30078125,62776.75,61280.5078125,60324.765625,60092.94140625,60739.5078125,61827.80859375,63908.640625,65750.5078125,68018.1640625,69798.5,70522.921875,70778.375,71256.2890625,71324.921875,71551.3125,71863.8671875,72433.2578125,73221.4453125,73840.8046875,74263.1640625,74362.984375,72079.921875,68433.9921875
2021-05-15,65448.5859375,63000.0625,61284.6640625,60205.78125,59843.29296875,60267.4453125,61017.55859375,62629.171875,64564.109375,67084.8359375,69083.515625,70112.8515625,70760.4921875,71327.703125,71681.296875,71940.3828125,72308.6015625,73007.5078125,73719.671875,74201.59375,74492.1953125,74389.65625,72109.78125,68539.625
2021-05-16,64156.75390625,61970.37109375,60493.34765625,59673.71484375,59480.0625,60260.8125,61647.21484375,64442.45703125,66577.03125,68767.609375,70399.0859375,71433.5078125,72284.0390625,72906.7421875,73364.5390625,73603.4453125,73952.90625,74735.59375,75508.546875,76171.6796875,76640.046875,76406.203125,73726.359375,69787.046875
2021-05-17,63989.7578125,61752.1328125,60511.984375,59893.7109375,59869.9296875,61432.98828125,64436.8359375,69660.6796875,72212.8984375,73592.1796875,74722.9609375,75792.4921875,77087.109375,77754.6484375,78615.015625,78854.4296875,79028.8203125,79629.8984375,79970.1640625,80522.8515625,81126.46875,80388.0546875,77046.734375,72341.8515625
2021-05-18,65633.0078125,63041.9453125,61394.10546875,60414.78125,60214.84765625,61086.84765625,62903.109375,66295.8125,68449.1953125,70689.8515625,73026.8125,74607.984375,75878.3359375,77161.1015625,77975.46875,78747.1796875,79212.296875,79667.328125,79960.4453125,80048.3984375,79801.6640625,79561.8515625,76667.1171875,71992.375
2021-05-19,65834.03125,63242.49609375,61638.03515625,60648.89453125,60352.10546875,61545.546875,64082.73046875,68526.7890625,71083.875,73093.1484375,75097.53125,76916.6171875,78714.515625,80041.59375,81263.0234375,81933.4453125,82379.9921875,82883.171875,82869.5703125,82788.5390625,82872.71875,82243.3046875,78918.796875,73828.015625
2021-05-20,69677.1875,66458.1875,64519.8671875,63219.33984375,62744.3984375,64130.5390625,67325.75,72616.34375,75576.421875,77640.0859375,79885.09375,82494.875,85062.1171875,86883.8046875,88857.4375,89721.375,90333.1015625,90603.140625,90172.7265625,89344.265625,88678.625,87436.6171875,83559.0703125,77944.9765625
2021-05-21,72466.390625,68903.859375,66740.6171875,65170.10546875,64608.4140625,65821.9453125,68966.2578125,74037.1796875,77034.296875,79304.421875,81876.6640625,84803.671875,87622.6015625,89766.6875,91949.7421875,93060.1015625,93759.09375,94000.53125,93451.328125,92251.703125,91009.984375,89683.7734375,85711.078125,79920.828125
2021-05-22,71280.578125,67811.8046875,65477.40625,63895.41796875,63177.3125,63717.41796875,65490.97265625,68634.7265625,71033.0234375,73771.515625,76778.0859375,79527.5625,82046.1640625,84009.8984375,85795.9140625,86944.7265625,87723.9296875,88122.71875,87767.9921875,86724.8203125,85711.9296875,84670.359375,81335.6953125,76065.5546875
2021-05-23,72938.0546875,69086.9453125,66570.7890625,65057.15234375,64456.29296875,65456.67578125,68120.015625,72753.9296875,75519.109375,78265.8359375,81443.265625,84842.9765625,88088.1484375,90509.0859375,92861.6484375,94213.6015625,95163.9921875,95555.9765625,95106.921875,93781.1171875,91862.296875,90106.71875,86231.5625,80386.1171875
