date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,load25,load26,load27,load28,load29,load30,load31,load32,load33,load34,load35,load36,load37,load38,load39,load40,load41,load42,load43,load44,load45,load46,load47,load48
2006-01-04,7526.44167,7340.255,7113.48333,6772.77,6490.73167,6332.30333,6252.63333,6232.96667,6250.015,6422.30833,6609.35667,6995.36333,7333.25833,7638.99833,8009.26167,8336.075,8615.20333,8957.15333,9037.27667,9102.865,9115.16167,9092.605,9065.49667,8938.875,8949.79,9016.86833,8940.05667,8884.26667,8863.56167,8838.27167,8890.97333,8917.07667,8864.67667,8871.46167,8787.24833,8569.93833,8497.72167,8284.92167,8122.15333,8243.82333,8328.74,8165.08667,7936.01667,8035.38333,7928.495,7931.40167,7812.46667,7629.6
2006-01-05,7467.54167,7270.78833,7066.65333,6712.65667,6408.31,6189.755,6086.95833,6062.905,6095.85667,6240.735,6446.30333,6835.52333,7209.67833,7556.89833,7944.99667,8279.40167,8449.71667,8836.89667,9030.35333,9089.92667,9145.73833,9141.73833,9103.31333,9081.44,9034.89667,9059.28333,9018.345,8929.175,8952.62167,8909.26833,8913.96,8908.565,8983.31167,9001.805,9044.885,8876.29833,8771.89167,8593.185,8478.74,8480.69333,8542.62333,8241.53833,8009.84333,8074.20167,7824.55833,7955.73833,7842.08167,7728.87333
2006-01-06,7536.12333,7351.495,7075.27167,6745.605,6373.425,6193.19333,6100.96833,6103.505,6135.67,6273.98667,6468.90667,6869.505,7231.08167,7570.15667,7925.63667,8362.99667,8703.20833,9049.52,9208.065,9353.45167,9393.59667,9349.065,9449.09667,9434.12167,9479.70667,9507.17167,9518.45833,9541.34833,9589.825,9611.14,9612.58667,9673.71,9618.33,9555.03,9404.53667,9104.795,8928.02667,8689.27,8530.55333,8474.36333,8452.73833,8276.66167,8018.165,8142.41167,8091.98,8142.59667,7995.39167,7819.59
2006-01-07,7619.9,7390.98,7084.75833,6742.41333,6433.325,6251.47333,6110.9,6035.61167,5979.96667,6094.54167,6165.06833,6216.08833,6366.43333,6640.70667,7005.09,7439.02333,7846.22333,8219.12667,8341.635,8530.06333,8541.365,8539.335,8508.52833,8447.73667,8441.68833,8412.95167,8361.135,8283.93,8215.245,8203.15,8249.59,8274.58333,8309.725,8155.98833,8190.38333,8149.09333,8094.035,8024.53333,7856.85667,7899.585,8134.78,7995.06,7925.40333,7820.63,7730.66,7744.665,7489.53833,7282.68833
2006-01-08,7075.85167,6886.97,6658.70833,6384.72,6129.59833,6047.925,5925.18167,5897.14,5841.69333,5892.83667,5884.89167,6000.27667,6098.82667,6305.275,6651.26667,6960.22667,7359.755,7672.97833,7885.53833,8180.59167,8207.2,8314.55333,8315.545,8479.37833,8396.08,8425.475,8376.13167,8362.39,8414.84,8427.64167,8471.81167,8488.78167,8470.81333,8375.91,8446.94333,8441.77667,8427.52,8326.58833,8305.4,8293.49833,8504.99667,8269.035,8039.49,7934.64167,7760.47667,7768.79,7495.17333,7251.59833
2006-01-09,7091.32833,6887.23833,6693.86667,6438.89833,6262.655,6127.32167,6106.93667,6045.60667,6159.0,6357.79167,6657.63833,7141.33,7609.635,7991.81833,8429.16833,8828.15833,9164.19167,9566.97333,9741.02833,9898.785,9944.21,9977.89,10082.79667,10209.87167,10186.90167,10274.37667,10373.41333,10426.63667,10429.025,10488.28333,10555.83333,10614.42167,10643.02833,10569.46333,10489.02833,10163.96167,10011.16667,9708.81667,9455.24167,9401.43167,9529.16333,9407.88333,9103.145,9141.86833,8817.46,8711.73333,8408.38667,8214.64333
2006-01-10,7968.13667,7701.34667,7441.50333,7095.89833,6778.66333,6611.19167,6493.04667,6493.35,6529.87,6707.39333,6928.72,7392.14667,7968.85333,8396.61,8898.98,9400.79167,9825.81833,10211.9,10465.875,10656.65,10841.61333,10885.42,11022.21167,11051.68833,11197.19,11395.61667,11561.43333,11612.72167,11693.57,11678.18167,11870.86333,12073.96667,12174.29,12064.125,12005.8,11645.93333,11456.52,11145.26667,10928.77833,10762.895,10885.82833,10599.50667,10278.97833,10154.92333,9734.535,9527.72833,9182.89833,8824.56667
2006-01-11,8546.38333,8228.865,7918.94833,7492.29333,7186.94167,7013.01667,6869.14,6871.41333,6850.93167,7083.42,7270.34,7691.31,8258.09833,8816.51833,9451.045,10055.10667,10679.74,11269.90167,11582.97,11853.22,11953.41333,11953.21667,12093.25,12138.43667,12221.795,12173.45,11920.73,11687.80167,11706.93833,11687.32833,11715.50833,11654.835,11478.11333,11198.715,10926.51167,10502.005,10190.83,9916.47833,9696.05167,9596.94833,9490.96,9256.48833,8957.9,8986.30167,8693.545,8552.95833,8352.73833,8143.235
2006-01-12,7934.73167,7683.26,7504.84167,7098.025,6797.4,6629.18167,6575.35667,6574.69333,6589.035,6755.74833,6979.26167,7469.35167,7974.32,8370.75333,8852.995,9200.17,9555.24667,9867.885,10059.465,10175.45833,10279.77833,10213.09833,10294.375,10258.73333,10399.45167,10481.04667,10553.39667,10640.575,10684.825,10699.23333,10739.89667,10858.03167,10857.22167,10757.78333,10658.705,10405.95833,10196.33833,9977.29833,9794.11,9751.15833,9826.17833,9582.45167,9248.37167,9248.655,8966.40667,8895.64833,8615.16167,8361.71833
2006-01-13,8104.87333,7881.27,7559.355,7240.975,6826.03833,6722.24333,6593.00667,6581.405,6617.17333,6853.485,7103.69833,7571.07,8042.76167,8533.40667,9018.78,9435.81667,9753.085,9995.405,10158.94667,10234.66833,10301.34,10256.765,10248.72167,10108.365,10101.09333,10160.4,10142.70833,10081.565,10055.03167,10025.45,9973.00667,9977.00833,9917.12833,9817.52,9681.22833,9395.62,9248.5,9046.13167,8951.65167,8939.34667,8894.27833,8680.17167,8458.415,8583.37333,8159.505,8346.03333,8319.69833,8117.83333
