date,hour,temp,load,weekday,season
2006-01-04,0.0,19.5,7526.44167,3,2
2006-01-04,0.5,19.35,7340.255,3,2
2006-01-04,1.0,19.2,7113.48333,3,2
2006-01-04,1.5,19.1,6772.77,3,2
2006-01-04,2.0,19.0,6490.73167,3,2
2006-01-04,2.5,18.85,6332.30333,3,2
2006-01-04,3.0,18.7,6252.63333,3,2
2006-01-04,3.5,18.65,6232.96667,3,2
2006-01-04,4.0,18.6,6250.015,3,2
2006-01-04,4.5,18.5,6422.30833,3,2
2006-01-04,5.0,18.4,6609.35667,3,2
2006-01-04,5.5,18.7,6995.36333,3,2
2006-01-04,6.0,19.0,7333.25833,3,2
2006-01-04,6.5,19.55,7638.99833,3,2
2006-01-04,7.0,20.1,8009.26167,3,2
2006-01-04,7.5,20.3,8336.075,3,2
2006-01-04,8.0,20.5,8615.20333,3,2
2006-01-04,8.5,20.85,8957.15333,3,2
2006-01-04,9.0,21.2,9037.27667,3,2
2006-01-04,9.5,21.3,9102.865,3,2
2006-01-04,10.0,21.4,9115.16167,3,2
2006-01-04,10.5,21.45,9092.605,3,2
2006-01-04,11.0,21.5,9065.49667,3,2
2006-01-04,11.5,20.85,8938.875,3,2
2006-01-04,12.0,20.2,8949.79,3,2
2006-01-04,12.5,20.1,9016.86833,3,2
2006-01-04,13.0,20.0,8940.05667,3,2
2006-01-04,13.5,19.8,8884.26667,3,2
2006-01-04,14.0,19.6,8863.56167,3,2
2006-01-04,14.5,19.4,8838.27167,3,2
2006-01-04,15.0,19.2,8890.97333,3,2
2006-01-04,15.5,19.1,8917.07667,3,2
2006-01-04,16.0,19.0,8864.67667,3,2
2006-01-04,16.5,18.95,8871.46167,3,2
2006-01-04,17.0,18.9,8787.24833,3,2
2006-01-04,17.5,18.9,8569.93833,3,2
2006-01-04,18.0,18.9,8497.72167,3,2
2006-01-04,18.5,18.9,8284.92167,3,2
2006-01-04,19.0,18.9,8122.15333,3,2
2006-01-04,19.5,18.95,8243.82333,3,2
2006-01-04,20.0,19.0,8328.74,3,2
2006-01-04,20.5,19.15,8165.08667,3,2
2006-01-04,21.0,19.3,7936.01667,3,2
2006-01-04,21.5,19.55,8035.38333,3,2
2006-01-04,22.0,19.8,7928.495,3,2
2006-01-04,22.5,19.85,7931.40167,3,2
2006-01-04,23.0,19.9,7812.46667,3,2
2006-01-04,23.5,20.25,7629.6,3,2
2006-01-05,0.0,20.6,7467.54167,4,2
2006-01-05,0.5,20.3,7270.78833,4,2
2006-01-05,1.0,20.0,7066.65333,4,2
2006-01-05,1.5,20.1,6712.65667,4,2
2006-01-05,2.0,20.2,6408.31,4,2
2006-01-05,2.5,20.1,6189.755,4,2
2006-01-05,3.0,20.0,6086.95833,4,2
2006-01-05,3.5,20.1,6062.905,4,2
2006-01-05,4.0,20.2,6095.85667,4,2
2006-01-05,4.5,20.35,6240.735,4,2
2006-01-05,5.0,20.5,6446.30333,4,2
2006-01-05,5.5,20.85,6835.52333,4,2
2006-01-05,6.0,21.2,7209.67833,4,2
2006-01-05,6.5,21.55,7556.89833,4,2
2006-01-05,7.0,21.9,7944.99667,4,2
2006-01-05,7.5,22.25,8279.40167,4,2
2006-01-05,8.0,22.6,8449.71667,4,2
2006-01-05,8.5,23.2,8836.89667,4,2
2006-01-05,9.0,23.8,9030.35333,4,2
2006-01-05,9.5,23.9,9089.92667,4,2
2006-01-05,10.0,24.0,9145.73833,4,2
2006-01-05,10.5,24.0,9141.73833,4,2
2006-01-05,11.0,24.0,9103.31333,4,2
2006-01-05,11.5,23.6,9081.44,4,2
2006-01-05,12.0,23.2,9034.89667,4,2
2006-01-05,12.5,23.55,9059.28333,4,2
2006-01-05,13.0,23.9,9018.345,4,2
2006-01-05,13.5,24.75,8929.175,4,2
2006-01-05,14.0,25.6,8952.62167,4,2
2006-01-05,14.5,25.95,8909.26833,4,2
2006-01-05,15.0,26.3,8913.96,4,2
2006-01-05,15.5,25.2,8908.565,4,2
2006-01-05,16.0,24.1,8983.31167,4,2
2006-01-05,16.5,24.05,9001.805,4,2
2006-01-05,17.0,24.0,9044.885,4,2
2006-01-05,17.5,23.45,8876.29833,4,2
2006-01-05,18.0,22.9,8771.89167,4,2
2006-01-05,18.5,22.4,8593.185,4,2
2006-01-05,19.0,21.9,8478.74,4,2
2006-01-05,19.5,21.55,8480.69333,4,2
2006-01-05,20.0,21.2,8542.62333,4,2
2006-01-05,20.5,21.15,8241.53833,4,2
2006-01-05,21.0,21.1,8009.84333,4,2
2006-01-05,21.5,20.9,8074.20167,4,2
2006-01-05,22.0,20.7,7824.55833,4,2
2006-01-05,22.5,20.75,7955.73833,4,2
2006-01-05,23.0,20.8,7842.08167,4,2
2006-01-05,23.5,20.6,7728.87333,4,2
2006-01-06,0.0,20.4,7536.12333,5,2
2006-01-06,0.5,20.2,7351.495,5,2
2006-01-06,1.0,20.0,7075.27167,5,2
2006-01-06,1.5,19.85,6745.605,5,2
2006-01-06,2.0,19.7,6373.425,5,2
2006-01-06,2.5,19.55,6193.19333,5,2
2006-01-06,3.0,19.4,6100.96833,5,2
2006-01-06,3.5,19.45,6103.505,5,2
2006-01-06,4.0,19.5,6135.67,5,2
2006-01-06,4.5,19.75,6273.98667,5,2
2006-01-06,5.0,20.0,6468.90667,5,2
2006-01-06,5.5,20.35,6869.505,5,2
2006-01-06,6.0,20.7,7231.08167,5,2
2006-01-06,6.5,21.45,7570.15667,5,2
2006-01-06,7.0,22.2,7925.63667,5,2
2006-01-06,7.5,22.55,8362.99667,5,2
2006-01-06,8.0,22.9,8703.20833,5,2
2006-01-06,8.5,23.2,9049.52,5,2
2006-01-06,9.0,23.5,9208.065,5,2
2006-01-06,9.5,24.2,9353.45167,5,2
2006-01-06,10.0,24.9,9393.59667,5,2
2006-01-06,10.5,24.65,9349.065,5,2
2006-01-06,11.0,24.4,9449.09667,5,2
2006-01-06,11.5,25.0,9434.12167,5,2
2006-01-06,12.0,25.6,9479.70667,5,2
2006-01-06,12.5,25.45,9507.17167,5,2
2006-01-06,13.0,25.3,9518.45833,5,2
2006-01-06,13.5,25.6,9541.34833,5,2
2006-01-06,14.0,25.9,9589.825,5,2
2006-01-06,14.5,25.7,9611.14,5,2
2006-01-06,15.0,25.5,9612.58667,5,2
2006-01-06,15.5,25.5,9673.71,5,2
2006-01-06,16.0,25.5,9618.33,5,2
2006-01-06,16.5,25.3,9555.03,5,2
2006-01-06,17.0,25.1,9404.53667,5,2
2006-01-06,17.5,24.4,9104.795,5,2
2006-01-06,18.0,23.7,8928.02667,5,2
2006-01-06,18.5,22.9,8689.27,5,2
2006-01-06,19.0,22.1,8530.55333,5,2
2006-01-06,19.5,21.25,8474.36333,5,2
2006-01-06,20.0,20.4,8452.73833,5,2
2006-01-06,20.5,20.65,8276.66167,5,2
2006-01-06,21.0,20.9,8018.165,5,2
2006-01-06,21.5,21.3,8142.41167,5,2
2006-01-06,22.0,21.7,8091.98,5,2
2006-01-06,22.5,21.7,8142.59667,5,2
2006-01-06,23.0,21.7,7995.39167,5,2
2006-01-06,23.5,21.7,7819.59,5,2
2006-01-07,0.0,21.7,7619.9,5,2
2006-01-07,0.5,21.6,7390.98,5,2
2006-01-07,1.0,21.5,7084.75833,5,2
2006-01-07,1.5,21.4,6742.41333,5,2
2006-01-07,2.0,21.3,6433.325,5,2
2006-01-07,2.5,21.5,6251.47333,5,2
2006-01-07,3.0,21.7,6110.9,5,2
2006-01-07,3.5,21.65,6035.61167,5,2
2006-01-07,4.0,21.6,5979.96667,5,2
2006-01-07,4.5,21.5,6094.54167,5,2
2006-01-07,5.0,21.4,6165.06833,5,2
2006-01-07,5.5,21.6,6216.08833,5,2
