,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-05-01,8380.4638671875,8117.06689453125,7949.99072265625,7696.509765625,7463.1484375,7099.509765625,6821.25048828125,6663.5166015625,6570.80322265625,6525.830078125,6543.92626953125,6691.20849609375,6839.81396484375,7044.08740234375,7373.1923828125,7621.54833984375,8068.515625,8439.5869140625,8806.6689453125,8958.451171875,9039.9775390625,9060.5078125,8969.970703125,8818.3740234375,8790.48828125,8674.5634765625,8634.5625,8573.7490234375,8496.236328125,8401.095703125,8453.572265625,8426.912109375,8473.0947265625,8561.380859375,8834.125,9049.0771484375,9378.8662109375,9461.8720703125,9435.353515625,9205.064453125,9089.8544921875,8937.4130859375,8756.01953125,8577.33984375,8386.1640625,8383.4033203125,8242.6298828125,8172.71142578125
2010-05-02,7768.99462890625,7492.95751953125,7326.49853515625,7070.10400390625,6826.15625,6531.5517578125,6363.490234375,6296.529296875,6251.66552734375,6240.22705078125,6247.7978515625,6339.763671875,6396.4296875,6425.19482421875,6592.44677734375,6916.71044921875,7366.0205078125,7820.8134765625,8235.2822265625,8478.685546875,8555.3916015625,8569.6875,8553.025390625,8450.0927734375,8438.4140625,8344.474609375,8278.9794921875,8227.3427734375,8177.12158203125,8132.4814453125,8148.826171875,8214.9326171875,8246.0849609375,8314.8828125,8513.0439453125,8604.841796875,8744.818359375,8867.765625,8833.9716796875,8705.21875,8656.53125,8497.4990234375,8285.0810546875,8163.51806640625,8026.4892578125,7971.9677734375,7844.9912109375,7683.71484375
2010-05-03,7588.1611328125,7407.638671875,7224.0107421875,6945.46728515625,6659.10791015625,6484.4462890625,6318.73681640625,6359.68310546875,6425.5458984375,6618.64111328125,6842.94775390625,7378.8642578125,7915.228515625,8341.5224609375,8759.87109375,8951.025390625,9150.208984375,9416.7900390625,9504.7861328125,9622.7421875,9651.6337890625,9660.1572265625,9686.6494140625,9647.7607421875,9639.81640625,9653.9892578125,9618.8564453125,9623.8662109375,9568.3564453125,9531.9658203125,9561.0380859375,9551.916015625,9546.0751953125,9497.1259765625,9486.8388671875,9346.9931640625,9270.8203125,9109.673828125,9040.82421875,9046.69921875,8944.23828125,8710.1845703125,8439.740234375,8458.9609375,8313.6064453125,8302.4658203125,8194.1513671875,8037.1591796875
2010-05-04,7974.65869140625,7824.724609375,7645.056640625,7388.4267578125,7143.1923828125,6895.93115234375,6704.47265625,6655.6796875,6683.328125,6849.263671875,7061.9150390625,7562.64404296875,8080.55224609375,8635.337890625,9156.060546875,9416.783203125,9672.92578125,9932.6875,9988.3193359375,10151.8017578125,10224.0234375,10258.6396484375,10319.99609375,10351.1083984375,10413.3046875,10480.876953125,10505.4931640625,10559.34375,10554.33984375,10558.1044921875,10598.1279296875,10582.9375,10585.51171875,10543.8203125,10503.23046875,10364.6640625,10321.9345703125,10148.85546875,10033.951171875,9951.0263671875,9784.9697265625,9502.3310546875,9209.724609375,9090.9169921875,8843.138671875,8806.7421875,8607.6953125,8443.6025390625
2010-05-05,8234.8310546875,8033.59033203125,7880.91845703125,7657.19140625,7437.70068359375,7095.16943359375,6783.087890625,6605.1162109375,6504.36669921875,6496.36572265625,6594.357421875,6860.53125,7137.47900390625,7567.037109375,7978.572265625,8220.455078125,8562.4189453125,8797.2421875,8933.8623046875,9101.2509765625,9119.666015625,9145.6611328125,9102.1044921875,9031.021484375,8978.5576171875,8926.5595703125,8861.0205078125,8800.734375,8759.845703125,8738.03125,8691.4873046875,8653.2216796875,8704.9501953125,8793.078125,8994.857421875,9274.9169921875,9605.2373046875,9685.83203125,9573.0830078125,9362.525390625,9157.53515625,8994.33203125,8821.6591796875,8614.970703125,8387.595703125,8463.435546875,8366.0712890625,8294.7451171875
2010-05-06,8480.5283203125,8287.056640625,8135.76220703125,7971.23828125,7760.0712890625,7394.74462890625,7053.03662109375,6882.7470703125,6779.94873046875,6759.68115234375,6855.2587890625,7159.44091796875,7535.22216796875,8212.3828125,8841.22265625,9178.6279296875,9574.2763671875,9729.1337890625,9732.4560546875,9796.845703125,9781.564453125,9760.6015625,9701.7236328125,9585.6064453125,9532.1220703125,9481.078125,9412.3837890625,9374.904296875,9313.474609375,9283.1884765625,9247.435546875,9243.7822265625,9317.62109375,9451.8583984375,9735.447265625,10164.1748046875,10616.9697265625,10694.3916015625,10583.841796875,10358.29296875,10169.4267578125,10009.9765625,9797.734375,9527.7001953125,9205.1279296875,9239.3759765625,9028.76171875,8923.57421875
2010-05-07,8680.349609375,8456.634765625,8290.8642578125,8070.19970703125,7844.56982421875,7469.32080078125,7117.78271484375,6918.8134765625,6793.82958984375,6738.50390625,6765.29052734375,6968.93505859375,7203.5810546875,7682.9267578125,8140.56298828125,8470.1845703125,8905.240234375,9188.0234375,9317.203125,9458.9443359375,9451.0654296875,9432.7021484375,9322.5869140625,9181.2958984375,9097.33203125,9023.5390625,8939.2216796875,8859.06640625,8781.5830078125,8729.2265625,8697.3046875,8675.53125,8755.0888671875,8891.1728515625,9199.40234375,9581.0732421875,10101.28125,10208.5087890625,10146.50390625,9925.3173828125,9751.861328125,9626.8515625,9462.138671875,9209.44140625,8942.4560546875,8967.0341796875,8777.7783203125,8686.0634765625
2010-05-08,8513.693359375,8306.3876953125,8111.361328125,7860.00634765625,7618.9130859375,7256.46435546875,6973.1552734375,6762.482421875,6658.6396484375,6617.62158203125,6615.59765625,6724.46533203125,6851.677734375,7125.50927734375,7436.056640625,7741.22412109375,8192.3681640625,8569.626953125,8857.1201171875,9046.20703125,9093.63671875,9092.3232421875,8978.7744140625,8861.494140625,8786.248046875,8711.0732421875,8632.134765625,8564.37109375,8481.8447265625,8404.4482421875,8418.09765625,8415.912109375,8485.7646484375,8592.8076171875,8848.2041015625,9085.2880859375,9491.1298828125,9637.58984375,9602.4189453125,9397.041015625,9248.4794921875,9107.7109375,8951.2392578125,8748.998046875,8534.7314453125,8548.6298828125,8358.43359375,8301.580078125
2010-05-09,7999.01123046875,7724.31201171875,7538.216796875,7298.24951171875,7039.8203125,6727.09130859375,6525.8994140625,6430.9287109375,6375.9599609375,6337.2998046875,6351.330078125,6420.80712890625,6475.2919921875,6518.48876953125,6706.60107421875,7032.7421875,7512.42626953125,7995.7685546875,8448.2568359375,8675.5244140625,8759.69921875,8784.77734375,8725.8896484375,8601.1884765625,8567.9521484375,8478.392578125,8404.140625,8352.9462890625,8284.958984375,8219.0859375,8254.29296875,8310.04296875,8373.19921875,8457.9326171875,8737.75,8924.4677734375,9169.7861328125,9284.00390625,9243.1416015625,9061.1376953125,8993.7607421875,8838.6865234375,8629.5966796875,8472.9140625,8298.970703125,8227.048828125,8078.52880859375,7926.22998046875
2010-05-10,7781.365234375,7606.37548828125,7429.1669921875,7188.1650390625,6934.40283203125,6669.0791015625,6453.4462890625,6365.74755859375,6338.91259765625,6433.181640625,6571.10107421875,6906.2041015625,7254.14794921875,7662.5400390625,8078.8232421875,8321.7255859375,8586.861328125,8832.9501953125,8936.2861328125,9058.7099609375,9089.8505859375,9107.2080078125,9090.599609375,9064.376953125,9021.34765625,9003.3369140625,8932.8046875,8916.8271484375,8867.6455078125,8837.1943359375,8833.8642578125,8822.5234375,8849.142578125,8841.9833984375,8922.3505859375,8964.76171875,9080.44921875,9075.9609375,8987.2548828125,8909.09765625,8790.9912109375,8597.583984375,8401.1962890625,8311.1435546875,8134.08154296875,8197.787109375,8070.1181640625,7997.94482421875
