,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-11-01,7680.4111328125,7517.58349609375,7344.86865234375,7046.3544921875,6749.6201171875,6578.7373046875,6391.60009765625,6386.8896484375,6437.1708984375,6619.13427734375,6834.58251953125,7365.6142578125,7867.13720703125,8319.435546875,8710.57421875,8897.8017578125,9099.0556640625,9349.330078125,9398.01953125,9560.677734375,9570.7548828125,9589.015625,9618.13671875,9610.5908203125,9580.1572265625,9613.86328125,9550.8046875,9557.3681640625,9517.1806640625,9491.17578125,9500.421875,9497.037109375,9498.626953125,9494.224609375,9461.0693359375,9336.8603515625,9287.62890625,9168.240234375,9099.3583984375,9078.4990234375,8934.103515625,8703.7451171875,8462.3466796875,8440.7177734375,8308.302734375,8321.0927734375,8224.1025390625,8089.9599609375
2010-11-02,8039.931640625,7907.228515625,7740.0791015625,7522.98876953125,7300.11865234375,6973.13720703125,6722.1005859375,6568.22509765625,6521.3935546875,6598.953125,6775.34716796875,7107.87451171875,7520.009765625,8061.4384765625,8591.923828125,8845.966796875,9104.6318359375,9286.6962890625,9322.8935546875,9431.3291015625,9466.7373046875,9485.64453125,9486.560546875,9448.8271484375,9445.775390625,9444.8388671875,9377.1435546875,9352.5029296875,9316.4443359375,9304.2841796875,9276.29296875,9272.1572265625,9301.9453125,9325.6162109375,9438.3662109375,9578.091796875,9779.466796875,9793.1474609375,9673.5556640625,9521.9091796875,9311.0068359375,9109.9111328125,8897.9765625,8722.236328125,8477.2841796875,8569.564453125,8420.3701171875,8367.7099609375
2010-11-03,7989.10302734375,7823.7177734375,7687.453125,7461.7587890625,7256.29736328125,6925.69970703125,6657.65185546875,6574.37548828125,6536.9423828125,6601.865234375,6760.98193359375,7123.87158203125,7560.1787109375,8099.65771484375,8667.6806640625,8916.693359375,9184.2109375,9355.421875,9397.4384765625,9497.400390625,9532.3701171875,9550.080078125,9553.9873046875,9479.09765625,9504.203125,9491.4931640625,9457.900390625,9451.6328125,9406.7109375,9371.9384765625,9393.078125,9353.8193359375,9387.7783203125,9394.8759765625,9530.173828125,9610.8994140625,9785.9609375,9739.095703125,9686.3115234375,9533.126953125,9347.7294921875,9132.4267578125,8913.619140625,8752.0751953125,8535.8095703125,8593.3359375,8457.4833984375,8392.9755859375
2010-11-04,8090.8251953125,7906.28857421875,7763.78515625,7557.2529296875,7344.92626953125,6999.04638671875,6711.01611328125,6568.23583984375,6491.3271484375,6523.71630859375,6653.83544921875,6958.01025390625,7305.966796875,7808.287109375,8295.896484375,8554.03515625,8863.7373046875,9062.509765625,9144.8662109375,9277.7236328125,9309.205078125,9334.1728515625,9330.3427734375,9268.9404296875,9253.373046875,9229.75390625,9164.87890625,9137.6728515625,9095.115234375,9081.21484375,9050.837890625,9046.625,9088.33203125,9153.5302734375,9325.2646484375,9547.8125,9811.4697265625,9847.42578125,9733.615234375,9540.392578125,9338.4013671875,9153.8818359375,8952.6240234375,8744.15234375,8501.96484375,8583.353515625,8451.4716796875,8385.0625
2010-11-05,8161.3115234375,7957.955078125,7822.04345703125,7638.56982421875,7433.64404296875,7075.14208984375,6758.83935546875,6630.34521484375,6549.49267578125,6559.7255859375,6686.15283203125,6997.8662109375,7370.29345703125,7916.00634765625,8464.01171875,8733.748046875,9071.4169921875,9264.4765625,9335.98828125,9444.2158203125,9479.9794921875,9505.6376953125,9492.171875,9397.3486328125,9394.810546875,9356.326171875,9300.169921875,9277.236328125,9228.2763671875,9206.4765625,9193.3828125,9175.5771484375,9231.4267578125,9323.3046875,9559.005859375,9865.892578125,10187.79296875,10195.7802734375,10073.13671875,9849.470703125,9651.9482421875,9475.166015625,9261.4658203125,9018.5615234375,8753.9658203125,8808.7080078125,8664.5869140625,8580.771484375
2010-11-06,8180.03662109375,7980.427734375,7813.1728515625,7583.07568359375,7371.265625,7021.541015625,6726.220703125,6562.4189453125,6466.958984375,6465.31298828125,6548.93359375,6784.59423828125,7049.3134765625,7435.21484375,7840.10205078125,8091.77099609375,8431.001953125,8699.0556640625,8856.544921875,9009.958984375,9042.841796875,9067.1259765625,9002.330078125,8917.427734375,8868.37890625,8811.359375,8747.330078125,8683.986328125,8631.04296875,8593.953125,8574.8720703125,8523.1943359375,8580.38671875,8640.60546875,8851.3984375,9080.3525390625,9404.5341796875,9461.494140625,9371.380859375,9187.857421875,9020.3125,8866.296875,8700.9052734375,8522.587890625,8310.21484375,8376.9208984375,8262.59765625,8209.6884765625
2010-11-07,7521.8427734375,7321.3447265625,7148.18505859375,6892.03125,6681.13720703125,6400.890625,6249.95947265625,6164.701171875,6121.35205078125,6150.75732421875,6172.2607421875,6262.5703125,6371.083984375,6500.2373046875,6724.78076171875,7085.06982421875,7450.86767578125,7852.9931640625,8081.32421875,8348.3896484375,8399.5849609375,8402.880859375,8391.591796875,8331.2939453125,8316.6484375,8269.0322265625,8185.54443359375,8116.736328125,8091.1572265625,8083.669921875,8056.3134765625,8098.1767578125,8133.61083984375,8165.2177734375,8291.1884765625,8310.3740234375,8445.4365234375,8554.140625,8512.978515625,8462.578125,8398.4462890625,8234.4462890625,8058.64453125,7951.65673828125,7824.12744140625,7825.29541015625,7692.1083984375,7562.14892578125
2010-11-08,7427.72265625,7246.52880859375,7053.3291015625,6800.11669921875,6521.861328125,6378.8583984375,6241.52783203125,6312.51220703125,6380.6865234375,6595.02490234375,6831.63134765625,7378.86962890625,7913.1923828125,8329.564453125,8727.1787109375,8975.986328125,9178.4892578125,9474.416015625,9555.6220703125,9714.7802734375,9760.4765625,9775.46484375,9855.4365234375,9873.689453125,9888.935546875,9936.265625,9915.9970703125,9963.23046875,9930.3046875,9932.4609375,9959.9365234375,9971.455078125,9978.330078125,9908.509765625,9854.5,9660.01953125,9516.537109375,9324.6025390625,9229.248046875,9259.7958984375,9155.611328125,8889.923828125,8586.900390625,8592.44140625,8409.5849609375,8365.44140625,8214.111328125,8005.97802734375
2010-11-09,7700.59521484375,7528.822265625,7343.29150390625,7044.42578125,6784.798828125,6596.4599609375,6456.1611328125,6479.201171875,6548.6923828125,6772.884765625,7040.2646484375,7627.20751953125,8192.546875,8621.0947265625,9046.6787109375,9245.8916015625,9428.7529296875,9697.759765625,9790.888671875,9929.95703125,9965.5341796875,9970.630859375,10027.9931640625,10018.01953125,10034.9208984375,10065.2138671875,10048.5185546875,10058.740234375,10029.85546875,10009.5,10032.7197265625,10035.8466796875,10021.052734375,9959.4951171875,9899.1103515625,9684.466796875,9558.9794921875,9382.3701171875,9311.5615234375,9321.08203125,9191.1416015625,8916.736328125,8617.3095703125,8633.8291015625,8462.4150390625,8436.1787109375,8306.8154296875,8124.32470703125
2010-11-10,7667.845703125,7480.150390625,7294.185546875,6994.25341796875,6726.703125,6542.5439453125,6396.7578125,6425.08154296875,6490.23095703125,6687.1572265625,6925.46484375,7471.77587890625,7996.109375,8379.6533203125,8777.552734375,8977.9560546875,9189.9736328125,9466.421875,9607.115234375,9735.828125,9772.41796875,9783.404296875,9824.9384765625,9800.7890625,9792.98046875,9809.95703125,9793.875,9809.6416015625,9770.486328125,9729.3359375,9766.5478515625,9782.2587890625,9776.609375,9702.857421875,9673.306640625,9473.0546875,9360.56640625,9202.4599609375,9161.3505859375,9160.361328125,9054.150390625,8790.216796875,8506.138671875,8528.4853515625,8370.7998046875,8345.3447265625,8220.46875,8060.4755859375
