,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-02-01,7574.142578125,7406.1005859375,7194.8798828125,6940.931640625,6644.63037109375,6522.7060546875,6377.25927734375,6367.5419921875,6444.8525390625,6612.0244140625,6831.12109375,7294.046875,7751.84765625,8162.2373046875,8525.8408203125,8833.5380859375,9137.5126953125,9530.2451171875,9721.8837890625,9963.90234375,10120.9267578125,10232.12109375,10349.5009765625,10484.40625,10546.4794921875,10678.599609375,10776.185546875,10887.15234375,10942.30078125,11008.2265625,11035.0546875,11071.353515625,11084.1337890625,10947.03125,10850.8056640625,10590.3291015625,10399.412109375,10147.6298828125,9975.400390625,9917.544921875,9766.9912109375,9457.294921875,9130.5810546875,9017.142578125,8733.5791015625,8605.7470703125,8384.46484375,8166.52978515625
2010-02-02,8033.75146484375,7822.29248046875,7621.94287109375,7271.30078125,7029.92041015625,6848.30078125,6721.51611328125,6707.4248046875,6776.900390625,6966.31982421875,7240.20068359375,7851.5107421875,8399.001953125,8796.1552734375,9202.3056640625,9454.970703125,9742.5400390625,10059.7177734375,10304.3955078125,10453.6015625,10580.7451171875,10641.90234375,10720.498046875,10781.8994140625,10839.35546875,10881.564453125,10991.5986328125,11072.9248046875,11108.8720703125,11078.9921875,11176.4443359375,11184.458984375,11184.044921875,11057.640625,10959.361328125,10613.7705078125,10407.4609375,10141.3818359375,10085.12890625,10018.783203125,9893.3818359375,9570.818359375,9210.1181640625,9154.984375,8902.765625,8782.837890625,8561.01171875,8370.453125
2010-02-03,7768.78173828125,7605.34228515625,7419.82421875,7132.69677734375,6875.2216796875,6694.3505859375,6517.4150390625,6438.2314453125,6467.150390625,6570.83740234375,6724.14501953125,7078.02099609375,7437.67822265625,7824.4853515625,8196.353515625,8504.44921875,8839.37890625,9181.6689453125,9385.013671875,9620.958984375,9742.0751953125,9832.6015625,9917.6279296875,9993.025390625,10025.2802734375,10122.5244140625,10196.5341796875,10262.3349609375,10307.6787109375,10343.158203125,10352.119140625,10401.8134765625,10408.2109375,10298.4384765625,10244.359375,10035.669921875,9960.3466796875,9820.01953125,9744.033203125,9646.412109375,9483.091796875,9194.591796875,8928.7197265625,8800.90234375,8550.400390625,8479.9189453125,8278.173828125,8132.8095703125
2010-02-04,8129.8408203125,7900.26513671875,7691.1953125,7358.083984375,7083.32568359375,6898.7392578125,6770.5478515625,6758.87890625,6840.71533203125,7033.97900390625,7306.2275390625,7921.6875,8480.5859375,8890.818359375,9315.02734375,9555.2294921875,9881.12109375,10240.353515625,10548.3876953125,10695.2265625,10877.1357421875,10970.23046875,11063.564453125,11155.947265625,11251.220703125,11317.189453125,11476.494140625,11594.5537109375,11641.458984375,11629.3095703125,11747.6728515625,11755.3056640625,11733.6796875,11581.16796875,11459.4677734375,11082.6669921875,10822.4404296875,10498.6591796875,10382.6484375,10287.169921875,10181.5,9848.7109375,9456.7373046875,9380.1533203125,9087.708984375,8928.744140625,8677.8466796875,8468.142578125
2010-02-05,8019.46240234375,7811.173828125,7625.3994140625,7294.06494140625,7045.11669921875,6846.2490234375,6693.64208984375,6667.1083984375,6716.83056640625,6880.9853515625,7110.70947265625,7664.5947265625,8160.28369140625,8567.8349609375,8978.9892578125,9222.076171875,9520.583984375,9817.9423828125,10045.8837890625,10196.623046875,10300.8466796875,10352.40625,10424.90625,10466.826171875,10507.7353515625,10544.07421875,10626.9921875,10700.5478515625,10720.1611328125,10688.73046875,10767.1103515625,10785.892578125,10777.8115234375,10675.3212890625,10596.5869140625,10316.732421875,10154.8115234375,9947.5595703125,9902.8583984375,9820.76953125,9697.1162109375,9391.3271484375,9068.1806640625,9001.861328125,8769.4111328125,8684.0732421875,8483.84375,8315.05859375
2010-02-06,8062.50732421875,7849.7392578125,7692.7958984375,7326.6923828125,7092.06689453125,6858.8037109375,6688.94970703125,6662.15234375,6711.85595703125,6861.8623046875,7089.0400390625,7654.3076171875,8167.05810546875,8560.505859375,9011.6083984375,9173.83984375,9427.0146484375,9638.9375,9849.8076171875,9914.0546875,9955.8408203125,9956.84765625,9965.630859375,9888.1611328125,9893.021484375,9845.7705078125,9877.3486328125,9871.0732421875,9843.5205078125,9744.4150390625,9816.5107421875,9812.5341796875,9785.1220703125,9713.6767578125,9702.666015625,9495.0244140625,9413.22265625,9277.8935546875,9320.2509765625,9249.330078125,9143.1181640625,8877.5048828125,8594.203125,8599.0986328125,8451.220703125,8435.7646484375,8319.802734375,8202.8525390625
2010-02-07,7503.6962890625,7289.9306640625,7116.3984375,6838.6943359375,6603.017578125,6378.0693359375,6228.2646484375,6142.92529296875,6115.8232421875,6112.27392578125,6126.3017578125,6220.59228515625,6312.22900390625,6418.04248046875,6635.52978515625,7007.60693359375,7416.85107421875,7829.7236328125,8109.64306640625,8351.2724609375,8416.2451171875,8450.056640625,8425.416015625,8398.642578125,8353.6318359375,8301.6083984375,8283.234375,8241.56640625,8244.978515625,8207.296875,8212.3828125,8252.3681640625,8306.7626953125,8280.8369140625,8403.166015625,8403.0859375,8487.2021484375,8568.1787109375,8555.4033203125,8491.005859375,8438.3271484375,8256.30078125,8088.947265625,7976.85546875,7825.259765625,7785.7275390625,7643.75634765625,7517.97607421875
2010-02-08,7403.41845703125,7250.7099609375,7033.587890625,6792.962890625,6501.72314453125,6397.27783203125,6268.17138671875,6270.29052734375,6345.30859375,6523.255859375,6738.57666015625,7181.0478515625,7635.841796875,8046.6748046875,8401.388671875,8739.6669921875,9023.58203125,9410.8662109375,9554.31640625,9805.498046875,9945.1484375,10046.5439453125,10167.9560546875,10310.96484375,10355.7880859375,10497.931640625,10566.876953125,10673.2802734375,10724.5849609375,10803.3564453125,10812.2802734375,10857.5830078125,10884.720703125,10744.5283203125,10646.1611328125,10388.6650390625,10208.017578125,9973.1494140625,9800.4052734375,9781.525390625,9633.2734375,9333.2109375,9013.7177734375,8914.8291015625,8635.62890625,8521.16796875,8292.1015625,8070.4619140625
2010-02-09,8124.78857421875,7897.2666015625,7686.21923828125,7349.77978515625,7081.9755859375,6899.90087890625,6771.11962890625,6744.1357421875,6824.18017578125,6999.322265625,7258.08154296875,7835.0341796875,8371.81640625,8770.8330078125,9197.587890625,9454.162109375,9802.7216796875,10174.0341796875,10507.7568359375,10661.6708984375,10867.08203125,10978.2373046875,11073.900390625,11171.2802734375,11277.9462890625,11353.3076171875,11535.8544921875,11658.37890625,11719.66015625,11715.5419921875,11836.06640625,11844.953125,11825.3701171875,11655.2001953125,11538.65625,11150.82421875,10899.0673828125,10563.681640625,10450.974609375,10340.4951171875,10231.3671875,9898.2607421875,9503.07421875,9411.4560546875,9104.3701171875,8932.080078125,8667.328125,8464.248046875
2010-02-10,8406.4931640625,8145.83203125,7935.8984375,7558.21435546875,7305.3701171875,7095.01416015625,6979.32861328125,6951.724609375,7037.66943359375,7227.72998046875,7514.73583984375,8176.0927734375,8772.1162109375,9181.0693359375,9651.953125,9878.1123046875,10243.5888671875,10597.001953125,10995.2314453125,11095.796875,11326.9951171875,11433.7578125,11524.1650390625,11602.482421875,11741.8642578125,11785.9228515625,12013.3935546875,12146.8095703125,12208.8818359375,12169.1201171875,12343.4609375,12332.904296875,12292.994140625,12109.791015625,11973.4306640625,11514.0751953125,11216.5703125,10826.10546875,10735.60546875,10602.3935546875,10516.7841796875,10169.548828125,9728.12109375,9650.0478515625,9329.0595703125,9131.212890625,8840.0791015625,8633.5927734375
