,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-08-01,8673.8994140625,8389.3974609375,8161.3857421875,7997.88134765625,7708.25537109375,7325.02099609375,7018.40283203125,6861.740234375,6737.46630859375,6655.82275390625,6665.8046875,6684.6064453125,6773.82275390625,6905.60009765625,7139.05712890625,7509.06103515625,8063.16455078125,8620.2939453125,9028.50390625,9309.96875,9362.705078125,9384.4189453125,9257.6845703125,9113.341796875,8998.734375,8935.236328125,8806.1181640625,8740.306640625,8634.154296875,8583.607421875,8586.228515625,8633.1240234375,8775.23828125,8970.091796875,9425.2841796875,9910.5263671875,10471.6650390625,10625.7255859375,10498.2529296875,10236.76171875,10073.421875,9938.953125,9747.9580078125,9465.103515625,9181.330078125,9064.05859375,8859.0400390625,8680.3447265625
2010-08-02,8609.5361328125,8394.9013671875,8225.5087890625,8138.1611328125,7912.08642578125,7579.10791015625,7222.39453125,7075.8955078125,6949.2763671875,6927.642578125,7047.380859375,7370.36328125,7831.07470703125,8627.9755859375,9382.8173828125,9847.3154296875,10313.8349609375,10526.42578125,10400.9951171875,10513.1064453125,10462.400390625,10429.544921875,10366.38671875,10264.2978515625,10175.9521484375,10148.6396484375,10066.232421875,10020.17578125,9974.2421875,10015.2998046875,9941.5498046875,9962.1435546875,10144.177734375,10413.890625,10821.1064453125,11431.2060546875,12050.0146484375,12125.4736328125,11932.025390625,11741.9951171875,11521.544921875,11340.2470703125,11086.779296875,10739.7705078125,10290.794921875,10189.697265625,9877.8525390625,9651.3515625
2010-08-03,9193.953125,8979.9375,8845.142578125,8701.1845703125,8506.2333984375,8106.3310546875,7741.78466796875,7519.53369140625,7367.33740234375,7332.78662109375,7444.97607421875,7827.29296875,8352.1435546875,9300.4794921875,10241.8125,10702.3984375,11183.9462890625,11243.2373046875,11048.3310546875,11042.931640625,10950.28515625,10857.0732421875,10755.16015625,10603.9677734375,10521.185546875,10436.0322265625,10364.5087890625,10306.2978515625,10266.515625,10248.314453125,10203.6787109375,10181.990234375,10317.775390625,10563.6103515625,10940.1591796875,11525.1162109375,12206.6357421875,12334.3232421875,12227.7607421875,12011.26953125,11788.0830078125,11605.8701171875,11346.0302734375,10988.75,10520.9912109375,10456.083984375,10097.11328125,9895.8857421875
2010-08-04,9603.6328125,9369.9326171875,9193.16015625,9010.46484375,8757.328125,8348.265625,7959.84228515625,7692.64306640625,7542.0205078125,7470.4228515625,7558.7744140625,7881.72705078125,8289.0078125,9087.041015625,9883.9609375,10350.478515625,10882.7119140625,11019.470703125,10949.935546875,10970.4765625,10813.7861328125,10683.060546875,10523.0517578125,10343.4482421875,10147.5458984375,10043.1533203125,9908.05078125,9817.2294921875,9748.5751953125,9702.6923828125,9629.626953125,9662.248046875,9770.8505859375,9980.4814453125,10388.2822265625,10973.1142578125,11723.193359375,11960.0986328125,11905.994140625,11701.962890625,11527.9658203125,11364.642578125,11170.849609375,10862.0185546875,10434.6484375,10374.81640625,10029.9609375,9836.400390625
2010-08-05,9627.5302734375,9360.646484375,9133.220703125,8939.2919921875,8653.7578125,8256.2353515625,7874.7939453125,7605.11083984375,7442.68212890625,7358.4501953125,7382.85888671875,7565.70751953125,7806.228515625,8311.8564453125,8855.5263671875,9320.3076171875,9908.3857421875,10295.9990234375,10417.4306640625,10574.62109375,10470.84375,10369.4404296875,10173.2255859375,9967.7607421875,9765.0439453125,9656.4755859375,9505.5166015625,9366.7392578125,9272.7734375,9236.375,9157.369140625,9213.1318359375,9354.849609375,9606.5634765625,10070.576171875,10637.2734375,11442.900390625,11678.3544921875,11630.5302734375,11430.6943359375,11267.169921875,11133.8525390625,10961.43359375,10665.00390625,10281.9111328125,10166.1796875,9829.4150390625,9623.669921875
2010-08-06,9667.0693359375,9411.23046875,9225.921875,9041.3798828125,8781.8857421875,8360.650390625,7968.27978515625,7698.66162109375,7543.04638671875,7457.72705078125,7536.42333984375,7823.41650390625,8188.9833984375,8893.625,9655.9052734375,10104.6181640625,10682.189453125,10891.125,10914.16796875,10969.81640625,10828.880859375,10723.49609375,10548.220703125,10349.4755859375,10150.201171875,10042.8603515625,9913.353515625,9813.8642578125,9734.0712890625,9686.591796875,9630.9111328125,9676.353515625,9821.4052734375,10067.6669921875,10529.47265625,11142.4130859375,11925.869140625,12165.4990234375,12107.9970703125,11881.189453125,11701.65625,11530.685546875,11337.431640625,11021.720703125,10588.048828125,10494.0205078125,10140.3173828125,9943.681640625
2010-08-07,9702.90234375,9403.1318359375,9178.4248046875,8952.5791015625,8660.166015625,8236.8447265625,7878.42578125,7624.7802734375,7455.3974609375,7369.13720703125,7352.26806640625,7458.154296875,7614.7763671875,7947.81494140625,8392.2314453125,8802.873046875,9453.67578125,9955.212890625,10268.97265625,10479.736328125,10434.64453125,10363.26953125,10145.5419921875,9920.94921875,9734.3349609375,9622.34375,9490.064453125,9353.41015625,9235.0244140625,9161.939453125,9137.37109375,9208.671875,9374.79296875,9682.3916015625,10163.8896484375,10708.537109375,11504.095703125,11739.9560546875,11701.62890625,11466.8095703125,11306.291015625,11162.201171875,10973.7529296875,10689.3134765625,10322.86328125,10164.79296875,9810.9384765625,9602.3544921875
2010-08-08,9248.908203125,8962.7685546875,8733.9951171875,8530.5224609375,8239.5498046875,7831.37939453125,7499.8115234375,7285.0947265625,7133.927734375,7050.53369140625,7041.2744140625,7101.9697265625,7222.16552734375,7463.53515625,7807.76025390625,8193.4326171875,8810.3505859375,9346.8359375,9725.0908203125,9973.1474609375,9973.92578125,9958.1103515625,9780.7509765625,9593.880859375,9439.5693359375,9364.9482421875,9231.9501953125,9136.48046875,9013.6591796875,8947.4833984375,8945.810546875,9014.9736328125,9195.224609375,9458.017578125,9936.7529296875,10458.4072265625,11153.6787109375,11349.681640625,11275.9677734375,11014.791015625,10834.7744140625,10697.173828125,10505.494140625,10213.3623046875,9874.1630859375,9735.0478515625,9434.3505859375,9247.2001953125
2010-08-09,8993.9609375,8786.8974609375,8614.697265625,8501.390625,8270.3525390625,7910.33935546875,7536.57666015625,7348.1611328125,7213.87158203125,7170.263671875,7272.15283203125,7603.69482421875,8085.96875,8961.2880859375,9809.21484375,10291.5517578125,10771.064453125,10900.306640625,10731.578125,10752.921875,10653.5048828125,10563.13671875,10445.72265625,10300.158203125,10174.884765625,10105.140625,10008.8212890625,9948.9521484375,9887.9130859375,9881.626953125,9819.94140625,9808.333984375,9954.0791015625,10168.0029296875,10574.0556640625,11182.8642578125,11872.2861328125,11994.4501953125,11867.185546875,11687.2529296875,11498.6884765625,11339.125,11106.19921875,10782.1962890625,10333.1865234375,10258.44921875,9918.9072265625,9711.38671875
2010-08-10,9356.912109375,9133.8427734375,8979.0927734375,8810.8134765625,8584.8759765625,8178.02099609375,7792.6982421875,7559.06689453125,7412.3115234375,7350.8017578125,7445.50341796875,7793.11083984375,8251.693359375,9109.0595703125,9948.248046875,10394.138671875,10872.8662109375,10951.7080078125,10823.4189453125,10810.1240234375,10677.4697265625,10554.1630859375,10419.951171875,10241.2685546875,10096.01171875,9990.4912109375,9885.0556640625,9805.130859375,9742.892578125,9692.0927734375,9629.634765625,9621.3779296875,9705.09765625,9883.4609375,10257.8251953125,10820.775390625,11511.2578125,11691.74609375,11634.9755859375,11429.6083984375,11251.568359375,11092.4921875,10884.384765625,10581.6787109375,10167.9208984375,10137.671875,9827.3232421875,9650.912109375
2010-08-11,9303.9638671875,9078.3154296875,8929.0859375,8744.9287109375,8522.5927734375,8124.02587890625,7753.02197265625,7505.96630859375,7361.8466796875,7314.5517578125,7413.13037109375,7780.166015625,8205.6572265625,9031.40625,9817.431640625,10240.849609375,10733.763671875,10835.166015625,10754.9091796875,10784.4560546875,10663.009765625,10562.7822265625,10456.70703125,10308.841796875,10169.6201171875,10078.912109375,9978.3291015625,9908.6572265625,9859.11328125,9828.5361328125,9756.42578125,9789.1279296875,9890.517578125,10115.3837890625,10466.330078125,11010.5810546875,11653.3447265625,11853.7392578125,11778.953125,11557.6337890625,11356.33203125,11178.60546875,10959.9140625,10643.0244140625,10229.673828125,10192.837890625,9882.9072265625,9703.431640625
2010-08-12,9205.357421875,8975.994140625,8819.1884765625,8658.7001953125,8429.455078125,8039.80908203125,7660.2890625,7438.7138671875,7300.34423828125,7243.2509765625,7344.1591796875,7694.02001953125,8134.93310546875,8953.2568359375,9751.7578125,10179.19140625,10662.66015625,10770.7783203125,10682.634765625,10694.4560546875,10578.5341796875,10480.162109375,10362.283203125,10197.6142578125,10060.908203125,9962.462890625,9864.8505859375,9790.638671875,9732.7333984375,9698.2373046875,9630.4638671875,9635.55859375,9735.5048828125,9933.67578125,10316.1123046875,10894.80859375,11555.154296875,11725.826171875,11637.765625,11424.416015625,11239.3359375,11075.8330078125,10858.8671875,10552.6083984375,10139.646484375,10098.2822265625,9804.380859375,9617.33203125
2010-08-13,9417.5849609375,9196.7626953125,9036.06640625,8839.9892578125,8610.33203125,8207.357421875,7827.916015625,7570.99853515625,7425.46630859375,7365.83935546875,7455.90283203125,7806.8994140625,8229.01171875,9055.43359375,9855.787109375,10282.8095703125,10775.892578125,10867.7041015625,10791.8408203125,10789.0419921875,10655.6474609375,10536.576171875,10399.748046875,10232.73046875,10075.2041015625,9970.7392578125,9861.9404296875,9784.3505859375,9722.203125,9672.923828125,9609.2431640625,9617.58984375,9709.1259765625,9898.9365234375,10258.7890625,10791.99609375,11467.537109375,11672.6767578125,11624.9775390625,11414.04296875,11236.2646484375,11073.4931640625,10872.0234375,10576.9365234375,10170.548828125,10141.728515625,9829.40234375,9664.181640625
2010-08-14,9352.7744140625,9104.181640625,8912.21875,8659.8125,8381.7919921875,7965.2392578125,7598.02783203125,7357.98583984375,7210.49072265625,7126.5673828125,7107.13916015625,7215.56591796875,7362.29736328125,7692.44580078125,8069.25,8431.1962890625,8967.8740234375,9382.572265625,9620.0703125,9846.12890625,9795.2265625,9734.576171875,9559.8837890625,9364.8349609375,9212.8232421875,9123.0234375,8993.5791015625,8875.31640625,8767.546875,8668.03125,8645.6142578125,8676.3759765625,8767.7626953125,8962.1982421875,9328.05078125,9724.041015625,10382.8330078125,10599.3603515625,10611.146484375,10384.7841796875,10198.22265625,10058.966796875,9922.7236328125,9666.89453125,9398.3447265625,9364.69921875,9112.9990234375,8991.35546875
2010-08-15,8547.9033203125,8270.291015625,8060.33251953125,7846.55419921875,7562.986328125,7199.31591796875,6925.287109375,6766.2333984375,6672.19091796875,6599.12255859375,6611.0498046875,6661.0625,6725.66650390625,6821.1650390625,7034.552734375,7350.9716796875,7884.47119140625,8399.9638671875,8867.3359375,9111.5205078125,9183.3134765625,9211.1875,9098.0908203125,8954.8876953125,8871.90625,8790.130859375,8691.345703125,8638.421875,8546.18359375,8465.3974609375,8500.2939453125,8542.162109375,8641.138671875,8788.576171875,9167.828125,9529.0615234375,9958.5390625,10107.33203125,10036.259765625,9766.2451171875,9629.5966796875,9476.8388671875,9285.6416015625,9045.68359375,8816.8984375,8723.9052734375,8553.89453125,8408.6201171875
2010-08-16,8311.1923828125,8073.59228515625,7928.15966796875,7840.92626953125,7615.72900390625,7278.3291015625,6911.662109375,6802.17138671875,6697.47119140625,6656.24267578125,6774.1552734375,7077.15380859375,7500.97314453125,8191.94677734375,8903.5302734375,9269.9072265625,9701.7333984375,9895.2919921875,9882.8056640625,9948.1396484375,9957.791015625,9970.720703125,9924.876953125,9792.98046875,9761.6923828125,9707.5244140625,9650.3837890625,9631.9169921875,9575.5400390625,9574.2890625,9556.0810546875,9528.2783203125,9655.1591796875,9842.1494140625,10243.0,10834.2578125,11350.912109375,11356.4365234375,11171.36328125,10915.2626953125,10718.5400390625,10551.7802734375,10307.98828125,9977.5166015625,9599.12109375,9552.4970703125,9335.318359375,9156.7412109375
2010-08-17,8883.6357421875,8683.81640625,8517.4677734375,8383.3623046875,8171.21142578125,7806.11279296875,7463.9248046875,7268.27587890625,7134.06787109375,7115.708984375,7231.4091796875,7573.00732421875,8048.86083984375,8891.724609375,9702.552734375,10150.509765625,10613.814453125,10753.673828125,10633.2626953125,10677.033203125,10606.1396484375,10537.81640625,10450.251953125,10328.369140625,10233.046875,10177.0546875,10098.9560546875,10038.796875,9989.2119140625,9997.2265625,9931.2958984375,9944.3125,10093.4169921875,10326.9462890625,10690.3251953125,11238.421875,11854.45703125,11976.7158203125,11838.58203125,11652.1455078125,11443.8564453125,11266.927734375,11016.40234375,10701.974609375,10254.51953125,10191.6123046875,9859.32421875,9667.2490234375
2010-08-18,9418.2822265625,9230.947265625,9089.775390625,8879.837890625,8677.2099609375,8246.8779296875,7880.09619140625,7619.3818359375,7466.8818359375,7423.265625,7502.53173828125,7853.0615234375,8313.783203125,9217.7861328125,10088.982421875,10524.7216796875,10973.8994140625,10994.3486328125,10830.6728515625,10799.91015625,10662.6015625,10524.7451171875,10392.5244140625,10224.41015625,10095.1474609375,10004.58203125,9896.0146484375,9831.560546875,9769.4716796875,9693.6767578125,9654.248046875,9639.1884765625,9703.3232421875,9849.37109375,10149.1416015625,10592.2998046875,11242.0634765625,11432.84375,11442.609375,11242.5205078125,11060.7138671875,10890.0478515625,10695.44140625,10406.6962890625,10017.0146484375,10035.5693359375,9707.0146484375,9585.384765625
