date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2004/1/1,748385,721958,698239,691621,710256,732744,762721,788243,820242,829195,836567,827794,805903,763179,732743,726781,769328,881407,900997,897879,880749,847634,806401,755167
2004/1/2,726714,720410,717180,721939,734523,787530,835289,904175,944115,978493,977376,961048,931839,900240,867097,842078,869949,955495,970093,962870,945063,905325,853187,787816
2004/1/3,752655,721812,715896,703076,716171,737940,776576,824659,862798,884470,878293,854239,815153,779946,751494,742897,768266,837567,849720,828256,810831,775697,729960,674420
2004/1/4,619059,597000,585846,576834,581767,590266,624164,677064,737218,785399,779411,767854,775621,764067,767019,778591,821897,890150,901586,886464,879233,846202,784307,726095
2004/1/5,698824,688642,690601,708587,728307,810673,944757,1004195,989823,984984,992864,967938,958053,952279,937428,940198,966967,1046923,1076876,1069271,1044607,1001437,933856,866932
2004/1/6,834870,825509,818972,841418,873892,957395,1089204,1154223,1113538,1094517,1079719,1055568,1045151,1040977,1030584,1034637,1090809,1231425,1270117,1276978,1265434,1234206,1174522,1115705
2004/1/7,1098427,1098512,1102177,1123858,1157699,1240335,1351044,1361987,1302448,1284900,1287527,1244762,1206462,1179158,1158205,1165309,1210508,1310661,1286260,1286703,1287651,1275203,1203660,1133965
2004/1/8,1117039,1100323,1098134,1109401,1148424,1232163,1314495,1344608,1280085,1244784,1235182,1205628,1185476,1172924,1166717,1172974,1206650,1279246,1286285,1273545,1229509,1166518,1085156,1013183
2004/1/9,973798,951703,954671,959511,993901,1063722,1172361,1218964,1214859,1210468,1192223,1168293,1140009,1125157,1104306,1115904,1131179,1233485,1256288,1248655,1236464,1222198,1193010,1139825
2004/1/10,1125260,1126834,1140061,1152802,1176215,1225905,1279524,1338640,1398140,1395541,1385660,1325671,1274706,1226078,1192013,1177702,1220839,1299987,1290084,1273188,1270805,1275227,1253451,1197699
2004/1/11,1182572,1179404,1183526,1191866,1205085,1247071,1292176,1314269,1325671,1285581,1251872,1226654,1180093,1115272,1083960,1097842,1136939,1220718,1231847,1225067,1205316,1152601,1083086,1012708
2004/1/12,984376,962293,971969,985909,1018265,1090961,1219554,1269918,1191570,1138893,1097342,1048231,1024120,999523,981894,986111,1018390,1099546,1130844,1118876,1089777,1045521,977449,898739
2004/1/13,876457,861385,872445,884716,922817,999098,1133931,1202337,1135207,1069283,1014044,986350,977412,977560,965816,968995,1018772,1131877,1169967,1169861,1161473,1114964,1057978,995736
2004/1/14,952208,965639,963652,973550,997256,1036057,1156181,1221710,1149929,1103261,1066053,1039413,1015745,995128,984538,1003115,1051362,1151637,1180941,1177004,1178348,1130898,1067342,993462
2004/1/15,959764,948255,943616,955891,972695,1048223,1168889,1256314,1238630,1221205,1182881,1162850,1135969,1146445,1098781,1110637,1160969,1272256,1312403,1310627,1314162,1280603,1231081,1165687
2004/1/16,1149840,1166134,1184403,1203545,1248408,1312959,1400007,1442851,1391137,1379246,1345085,1298739,1278556,1222396,1201425,1184090,1211619,1317473,1356528,1337653,1322847,1287053,1220066,1153227
2004/1/17,1120049,1101783,1092800,1093544,1114488,1135607,1175547,1233535,1263285,1255755,1223231,1170703,1123260,1086255,1064263,1073042,1101346,1164696,1159195,1133012,1106530,1063796,1011104,947318
2004/1/18,895661,884057,874258,866363,868730,890346,914312,964584,1035983,1083514,1083776,1066205,1047021,1027381,1019317,1011253,1041161,1097929,1111226,1096845,1094047,1074981,1051866,1003041
2004/1/19,990711,992588,1004934,1019004,1069211,1128737,1210795,1284256,1295854,1290095,1277347,1239571,1208407,1171020,1156973,1156749,1205879,1324133,1362381,1371060,1348214,1291869,1242173,1173337
2004/1/20,1138337,1132633,1128445,1142857,1173348,1248360,1354777,1414355,1362686,1315132,1266143,1243773,1192980,1175207,1155973,1139904,1195888,1328478,1376616,1382326,1358092,1298670,1223744,1155673
2004/1/21,1131703,1134022,1136682,1159253,1193992,1269904,1370889,1414942,1332779,1281496,1267020,1223075,1183355,1182142,1164230,1151348,1180924,1267409,1321455,1335411,1316120,1269966,1210785,1132857
2004/1/22,1107447,1090052,1076665,1080648,1101368,1159689,1260131,1295456,1222258,1186020,1171666,1150480,1114068,1068664,1035549,1038298,1082753,1176667,1233843,1229819,1239354,1194582,1132825,1075860
2004/1/23,1085024,1095641,1102263,1123241,1189327,1269662,1396982,1466441,1396388,1356837,1310154,1271372,1229395,1205795,1162037,1146145,1181689,1282386,1307693,1289701,1260667,1235896,1176455,1106319
2004/1/24,1077359,1068107,1059584,1056846,1070547,1097803,1147114,1198801,1250330,1264100,1251389,1211240,1178394,1165561,1128533,1121660,1141920,1230100,1281861,1267966,1249840,1222250,1188391,1130311
2004/1/25,1111594,1116331,1125394,1136136,1164084,1202621,1246912,1329138,1364961,1367470,1350624,1302629,1266160,1242545,1238897,1235629,1261123,1305542,1315592,1307943,1271986,1240267,1223386,1163593
2004/1/26,1142794,1140782,1138909,1144063,1163470,1205403,1237677,1257673,1299444,1360954,1357515,1339795,1311407,1288392,1275438,1263106,1298590,1336438,1338413,1290631,1259464,1223762,1150771,1108323
2004/1/27,1086676,1074417,1072218,1080433,1099920,1150849,1227034,1274374,1294417,1308690,1291002,1284441,1269764,1240381,1229266,1217597,1241615,1295248,1308608,1277842,1226046,1190804,1124601,1063150
2004/1/28,1049407,1047181,1044184,1067405,1102479,1154076,1254450,1318270,1315904,1266550,1237761,1208751,1206591,1185597,1160446,1146297,1171640,1283039,1349652,1338584,1264903,1222229,1162975,1089266
2004/1/29,1066550,1063769,1057059,1067403,1100747,1164072,1249143,1295415,1267651,1202029,1154094,1108091,1079127,1066581,1042775,1037658,1064348,1167174,1230114,1233147,1218383,1162777,1106519,1029788
2004/1/30,1005865,1002087,998760,1013506,1043119,1109840,1217142,1281841,1282115,1237369,1179341,1143773,1131507,1122512,1114869,1118086,1148493,1256211,1309321,1304797,1307159,1286123,1245364,1215844
2004/1/31,1198465,1211644,1218210,1230680,1261584,1284409,1335353,1380743,1399133,1367409,1317005,1254930,1211321,1166210,1123298,1102173,1110472,1182988,1267600,1263792,1250814,1212471,1177538,1123904
2004/2/1,1105464,1104745,1109766,1120537,1139686,1177749,1216462,1265178,1263621,1214809,1154618,1106066,1088171,1043374,1022827,1012617,1025763,1120073,1169670,1173124,1182398,1177259,1141913,1109981
2004/2/2,1087748,1088145,1107734,1135969,1180068,1260083,1359021,1397284,1317910,1237337,1197201,1162969,1111662,1094930,1082650,1068001,1108826,1181221,1243581,1246135,1225483,1168863,1109997,1041368
2004/2/3,1017144,1002352,994780,998923,1021444,1077386,1151270,1178010,1183324,1193545,1188659,1175683,1171629,1119681,1083402,1066097,1081925,1150131,1204812,1195319,1146075,1081927,1011381,943670
2004/2/4,928791,923693,923110,925450,958983,1043321,1148418,1213095,1200499,1133302,1062569,1036945,1005769,977191,962152,958023,984415,1069512,1167114,1160432,1156673,1119898,1065873,1018717
2004/2/5,997090,995689,1010702,1019753,1056913,1130963,1266250,1295639,1226348,1199848,1168036,1150519,1130750,1100577,1096352,1101213,1117794,1172583,1235225,1220569,1191700,1141858,1080931,1004771
2004/2/6,975653,960527,958344,947999,970211,1016838,1052404,1096094,1108245,1118043,1100030,1075977,1034559,1050004,1022770,1008076,1026023,1081732,1140536,1099473,1086765,1038358,983265,920659
2004/2/7,874251,856839,852523,865608,878607,892996,942007,992995,1038532,1071426,1048142,1007255,997675,978510,964628,972975,1006180,1068900,1110277,1103855,1093253,1061887,1036119,994281
2004/2/8,971869,957924,961088,973028,988071,1014427,1060169,1114689,1144294,1140038,1088784,1051965,1011283,980311,930123,925589,939754,982293,1074175,1098424,1098084,1086146,1047809,1008725
2004/2/9,979620,982527,1011411,1012445,1049689,1129018,1254329,1286790,1222466,1168627,1137846,1092052,1043512,1033190,1014464,1017814,1053239,1114195,1168415,1145284,1112728,1062357,995680,925332
2004/2/10,901772,893706,894605,913400,950798,1021901,1143960,1188816,1119010,1064957,1005900,971220,925982,909794,879346,883980,902429,982749,1076847,1077337,1076784,1044474,975616,906605
2004/2/11,886255,878423,886573,903280,934485,1006202,1135395,1189963,1125009,1076800,1036597,999798,963911,939158,912659,903072,936997,1017781,1121999,1131040,1121923,1099701,1039542,963600
2004/2/12,928697,929751,941509,956522,983537,1027011,1158545,1205634,1155350,1119758,1082488,1036258,1011644,998755,981491,969365,977677,1041145,1126737,1130198,1119911,1075449,1014140,946435
2004/2/13,964843,967852,960308,976280,1009345,1087578,1202018,1245754,1165295,1106148,1053765,1014307,984106,950259,928333,924364,935985,993605,1068134,1074772,1064174,1045900,1012093,959650
2004/2/14,934504,918927,920275,921282,953706,974091,1024447,1086532,1132632,1145943,1118700,1051543,1016783,979803,958968,958967,981302,1020308,1062746,1035069,1030804,1016234,982177,943039
