,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2007-11-01,728213.5,706127.625,696774.625,699797.875,717647.0625,758234.0625,826037.4375,875016.125,887316.125,885082.8125,878582.3125,857019.125,833594.4375,818989.0625,807035.1875,807696.75,811059.9375,832364.9375,852598.75,869537.5,876548.5,842829.375,788599.5,728271.75
2007-11-02,770945.75,756087.9375,755862.4375,767292.875,785341.25,846129.125,955623.25,1028511.9375,1031613.625,1024608.9375,1003621.6875,989508.4375,976467.5,957812.4375,944304.125,931860.8125,954984.6875,1011177.3125,1046032.5625,1062244.5,1058785.875,1011742.5625,945227.0625,883990.8125
2007-11-03,785915.9375,772252.375,771752.125,781343.5625,803599.875,858619.3125,957985.9375,1023253.9375,1021966.375,1009888.375,992803.5,972164.5,946164.3125,929961.3125,910869.125,901659.625,913522.625,958977.75,996893.8125,1009265.125,1001981.875,959954.25,896250.5625,837179.8125
2007-11-04,754759.375,742435.125,744639.1875,754253.375,774328.5,824716.0625,912659.75,973616.25,979342.375,965105.0625,941083.3125,914118.375,885899.6875,866165.625,847610.375,839539.875,850845.375,889854.875,923025.9375,946142.125,949843.5625,911754.75,854055.875,795850.875
2007-11-05,793652.4375,779987.0625,778281.8125,788203.0,805902.125,859720.4375,953421.6875,1009659.4375,1002850.0625,982156.4375,952856.1875,924409.9375,898677.5625,879755.125,862617.9375,851080.1875,863880.25,904590.4375,940616.4375,966731.25,971359.0625,930238.3125,866572.875,803857.9375
2007-11-06,791864.6875,775194.0,770277.3125,777150.125,802596.125,868308.6875,985216.125,1051344.625,1043672.75,1038138.0625,1032153.6875,1026242.6875,1015795.75,1009877.1875,1002858.0625,1001857.375,1035282.5625,1098987.875,1132442.625,1125761.375,1104187.5,1060402.5,998728.3125,931440.875
2007-11-07,882408.625,870151.75,877343.8125,886999.5625,918366.4375,976022.3125,1071303.375,1115073.875,1083286.75,1054430.5,1029514.125,992994.4375,959514.125,941251.625,914953.4375,911163.6875,934976.8125,997541.625,1055117.625,1078195.375,1058590.25,1029201.375,967985.5,906664.3125
2007-11-08,920246.8125,907876.125,911638.125,922229.3125,944765.5625,988183.25,1057862.375,1105716.75,1103690.25,1082402.0,1044725.375,1002399.1875,966747.3125,936938.9375,911811.625,906572.1875,939754.8125,1014329.125,1072079.0,1094396.75,1085150.125,1056070.625,998628.5625,945784.5625
2007-11-09,921499.25,906190.4375,898575.125,905265.0,926234.0625,977479.4375,1066190.75,1117567.0,1107168.125,1084795.125,1061896.625,1032650.25,1004867.0625,988744.6875,973634.5625,970444.5625,1001435.5625,1070725.375,1116365.125,1120133.5,1102237.125,1066822.25,1003637.5625,940578.375
2007-11-10,868466.875,853624.625,848528.625,856535.0,878354.8125,935934.4375,1039237.1875,1099627.75,1093103.5,1079668.0,1059813.125,1042256.3125,1024665.5,1012533.125,1002935.625,1000422.25,1037571.6875,1108413.125,1148436.625,1152141.25,1137781.625,1100767.75,1034492.375,969652.5625
2007-11-11,849291.8125,837440.625,836524.6875,848425.5,864083.125,911715.9375,998293.1875,1056382.25,1056876.75,1037527.625,999507.125,965284.5,937873.5625,911763.6875,892325.0,877566.5625,904181.5625,969753.0,1018950.375,1043676.4375,1039458.6875,1000577.3125,937073.25,881230.1875
2007-11-12,828836.3125,815779.375,811053.125,819279.4375,842031.125,898438.125,999433.1875,1052226.75,1030902.375,1009376.8125,990069.5,962601.4375,936670.6875,921878.625,904003.0,896251.25,909263.75,956931.1875,1000964.0625,1011599.125,1000422.8125,961770.9375,895587.5,832011.3125
2007-11-13,777000.3125,758156.375,753102.9375,757253.0625,782088.1875,841011.8125,943627.6875,1004800.875,994509.3125,988369.625,988211.125,974658.875,956998.125,947762.5,931800.75,928519.125,941769.8125,980470.0,1013583.5625,1015438.0,1001498.3125,961569.9375,896462.6875,831266.875
2007-11-14,766753.625,744040.75,735411.9375,736576.6875,761197.8125,821655.9375,921813.5625,964092.625,931586.375,917619.0625,912778.9375,903405.1875,893149.6875,894733.9375,886596.75,888531.375,898104.0625,912892.4375,937876.6875,952968.125,953155.5,917963.1875,848323.25,770097.625
2007-11-15,757568.8125,729604.875,713323.25,717465.4375,739244.4375,805695.3125,920764.875,985946.6875,982601.625,983013.75,982502.9375,992578.875,997688.3125,992576.375,1004674.4375,1012244.6875,1048301.125,1100385.0,1116409.75,1108132.25,1100773.125,1062151.375,1002081.5,936203.125
2007-11-16,886832.6875,871668.6875,875412.75,884743.1875,912617.625,968657.1875,1066880.0,1122219.25,1109232.5,1096230.75,1075679.75,1052848.125,1031185.0,1016603.5625,998006.5625,995612.9375,1029177.6875,1101255.625,1146926.625,1164095.75,1151549.875,1117530.5,1050213.5,987572.8125
2007-11-17,920396.5,906925.6875,909849.625,920028.5625,944162.875,992887.0,1078165.125,1120372.625,1100089.125,1068675.875,1034680.125,991165.0,957403.75,931214.0625,903072.5,891413.8125,917432.9375,984365.8125,1042701.0625,1065828.875,1049583.125,1012013.8125,951064.125,893035.8125
2007-11-18,836024.1875,824337.75,821862.5,832513.5625,849954.125,899359.6875,985566.3125,1042050.5625,1037799.0,1014057.375,979528.8125,945322.5625,914676.125,889825.25,870541.875,857730.6875,873445.625,924728.625,972410.6875,992587.25,988768.6875,948576.9375,886166.5,828674.0625
2007-11-19,824183.3125,809955.6875,805533.9375,814063.0,834660.6875,893312.875,1000417.25,1063387.125,1057474.25,1045250.5,1024648.6875,1006893.625,991686.75,977218.625,966748.25,960038.8125,994528.5625,1064045.875,1105868.625,1111286.875,1096320.125,1056227.25,991522.4375,928549.0
2007-11-20,889586.25,869913.9375,865905.9375,872294.125,889110.5,945388.3125,1050854.0,1099180.75,1076180.375,1050975.5,1023079.0625,996572.625,977657.9375,959921.0625,939077.875,919806.4375,938127.9375,989922.6875,1034293.375,1054186.25,1043145.5625,988152.0625,916754.125,847795.5
2007-11-21,757481.9375,737620.125,731650.125,733982.8125,764431.9375,824478.6875,920686.8125,960831.5,925942.25,904371.5,895764.5625,882798.8125,866072.3125,867527.875,857571.5,862524.625,869969.8125,883907.125,912303.3125,926364.25,925932.125,894173.9375,829641.0625,755192.875
2007-11-22,717377.8125,689003.5625,672725.5,671882.25,677506.9375,705348.1875,760075.1875,810469.9375,850208.8125,869123.5,872389.375,858294.375,838459.8125,824171.75,816119.1875,814073.875,817110.0,838487.5,849109.5,869029.375,876405.5,840511.75,785023.75,724731.625
2007-11-23,675697.375,667605.3125,674103.0625,692635.1875,718527.125,781257.9375,898976.3125,977709.5625,984647.1875,981524.75,959723.8125,948235.1875,938645.9375,921601.375,912403.625,906680.875,930635.5625,986064.875,1011980.875,1038474.125,1052225.375,1014194.25,951136.875,892011.625
2007-11-24,950198.6875,939450.0,948868.6875,961734.8125,990882.625,1037714.875,1113530.25,1155882.5,1143552.875,1119353.125,1083970.875,1038446.1875,1001142.3125,972553.6875,943876.3125,941257.0,975632.1875,1053542.0,1110164.5,1135890.0,1128761.375,1100656.25,1041868.375,988119.25
