,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2008-02-01,1015439.375,997001.6875,988309.1875,991347.8125,1020378.1875,1085649.25,1191012.125,1233912.0,1201916.5,1178827.625,1179695.75,1157418.25,1125237.25,1126782.875,1115655.75,1126889.625,1159868.375,1224862.125,1256256.5,1241291.125,1210739.125,1176546.5,1108491.375,1033505.875
2008-02-02,1007943.6875,992197.375,995001.8125,1002253.375,1031094.875,1091744.25,1186677.75,1227214.5,1197720.0,1168343.625,1148354.25,1111111.875,1075145.375,1057939.125,1033409.9375,1030528.625,1065634.625,1137401.5,1188010.375,1200313.5,1175067.875,1139004.5,1074286.5,1009219.5625
2008-02-03,945835.5625,929032.4375,928178.25,935439.375,957951.5625,1007630.3125,1089932.625,1132879.75,1115514.625,1085394.375,1055367.125,1013444.0,978969.625,953441.25,927236.8125,916871.375,945856.3125,1013408.875,1069991.75,1086822.875,1065855.25,1027338.3125,967112.0625,908340.25
2008-02-04,878631.5,863458.75,855984.0625,860198.8125,883504.375,941346.5625,1039980.0625,1086350.0,1056276.0,1030385.75,1013065.1875,981741.625,953096.0,938770.1875,920431.375,916080.8125,936713.625,991650.9375,1044408.0625,1046531.5625,1018346.3125,984007.9375,920374.625,856783.375
2008-02-05,915357.75,890113.0,883513.75,883465.5625,902407.5,957543.9375,1056608.0,1099204.5,1075341.625,1053280.375,1039183.375,1014430.125,995585.25,979897.9375,958226.1875,943167.6875,960172.0,1007153.25,1049568.125,1058262.625,1038064.1875,982248.1875,912818.5625,842180.3125
2008-02-06,807144.375,773338.8125,754233.125,747166.5,765313.1875,809385.375,886281.75,925977.6875,916189.875,916812.1875,927840.9375,915462.6875,903935.875,896636.125,885642.1875,887541.3125,896335.1875,917073.625,943998.0,943654.25,926810.0,889511.875,828051.4375,757657.125
2008-02-07,749994.5,729540.9375,724158.25,729847.125,751356.625,815376.5,925890.875,991476.1875,984707.25,984014.375,974861.9375,972566.3125,971282.75,961400.0,959161.875,959682.5,990235.1875,1046584.8125,1080170.125,1085590.125,1074628.0,1037030.0,974218.1875,906356.125
2008-02-08,981380.25,968779.9375,982672.25,992995.0,1034443.1875,1102980.375,1208043.875,1241248.0,1185335.625,1149149.5,1131645.375,1093026.25,1054778.25,1039485.0,1008876.4375,1012492.1875,1038773.5625,1102178.875,1161680.0,1179529.625,1152814.75,1123866.75,1059282.375,992797.9375
2008-02-09,942990.4375,927909.6875,929163.4375,936285.75,963653.375,1017575.75,1106588.625,1141183.75,1104001.5,1063482.5,1035778.5625,992070.5,954321.125,930542.875,900720.9375,891899.5625,907959.125,961580.4375,1022780.5625,1036420.8125,1010942.8125,970833.8125,911008.0625,848635.625
2008-02-10,841617.5625,828790.0,824951.0,834060.0,853763.4375,908668.375,1003715.5,1062246.5,1055490.125,1037933.625,1008437.5,981692.875,958939.0625,938065.5,924692.5,917591.25,950995.625,1021350.125,1072841.125,1084349.75,1067221.625,1032860.625,971115.8125,913479.8125
2008-02-11,1201016.625,1191045.75,1206612.375,1220925.25,1269020.625,1346432.125,1448631.875,1475012.75,1414849.0,1382332.75,1359759.25,1317586.125,1272986.75,1255642.5,1231714.375,1248494.875,1293746.375,1369820.5,1413738.75,1420226.0,1409085.25,1374131.875,1298638.25,1224817.875
2008-02-12,1193615.25,1175619.25,1170255.75,1180359.75,1215083.75,1284558.75,1388696.0,1419877.75,1382726.125,1353635.875,1344447.125,1314057.5,1271849.125,1269107.75,1257337.875,1271752.75,1319035.5,1392683.375,1411002.125,1389347.25,1373646.75,1323733.5,1245389.625,1165969.125
2008-02-13,1101607.75,1081980.625,1070937.0,1073042.125,1097789.875,1170789.875,1291036.125,1334548.625,1298634.125,1276248.625,1276581.375,1259668.25,1233636.25,1235942.875,1229678.625,1238321.125,1275514.625,1343207.0,1363108.625,1344777.75,1319618.0,1273307.375,1194517.375,1112922.75
2008-02-14,1109170.375,1096275.375,1104765.5,1113127.25,1151424.375,1220070.25,1319357.25,1350393.75,1303067.125,1270773.5,1254632.375,1215834.375,1173252.25,1159445.375,1133954.0,1140860.625,1179968.75,1251422.375,1299727.25,1308257.25,1284480.5,1252630.625,1184104.5,1113751.125
2008-02-15,1054140.0,1038361.3125,1038194.0625,1044328.875,1074389.875,1135087.875,1231164.25,1258377.25,1204737.125,1157882.375,1135201.125,1089311.875,1045648.5,1027392.25,996223.625,991345.25,1011535.8125,1068870.375,1131214.625,1138166.25,1101110.75,1061703.25,996805.125,927572.0
2008-02-16,889586.4375,874828.875,872130.875,881297.75,912221.3125,975552.3125,1075746.25,1126125.5,1106819.5,1088803.375,1075133.0,1055264.625,1026676.625,1017504.5,1007831.0625,1018507.5,1054516.375,1121460.125,1162364.875,1158749.75,1135634.75,1107279.75,1048450.0,985872.8125
2008-02-17,990984.6875,973966.8125,971092.375,980687.8125,1016866.5625,1076109.5,1185434.75,1217691.375,1176156.875,1146129.5,1139308.625,1108564.625,1076852.5,1072563.625,1049127.25,1050636.375,1078401.75,1139457.25,1177365.875,1171903.25,1148224.75,1103367.0,1031857.5,961487.75
2008-02-18,865855.125,846054.625,835771.125,839061.5,856168.6875,916846.0,1030005.375,1082115.875,1056889.625,1040164.125,1026160.5625,1007754.1875,995725.3125,982387.3125,968963.0625,957313.0,977431.8125,1027199.4375,1066902.875,1070781.5,1053638.625,1004895.5,930636.9375,861320.8125
2008-02-19,946678.9375,934784.875,948046.375,959165.5625,996632.6875,1067385.0,1176104.125,1217186.75,1168981.125,1139744.875,1120090.375,1087469.75,1057006.375,1041023.3125,1016598.4375,1020946.4375,1050950.5,1117471.125,1172324.125,1191880.125,1171056.375,1143165.625,1076076.375,1010248.5625
2008-02-20,1114889.625,1103819.75,1111747.875,1124632.25,1167541.5,1242610.25,1348541.375,1375539.75,1309340.0,1270853.25,1251182.25,1212781.75,1167233.875,1156428.125,1133878.375,1146165.75,1180135.625,1243705.125,1295787.875,1296241.5,1271435.875,1238620.625,1166217.5,1090287.375
2008-02-21,1202228.625,1186148.625,1187477.75,1197008.375,1234245.125,1308425.375,1411764.125,1445838.375,1408598.25,1382326.875,1368416.0,1338026.25,1297724.875,1288486.75,1277644.125,1295862.125,1347025.125,1427295.375,1448942.5,1438304.25,1427604.625,1386430.625,1310596.875,1236620.25
2008-02-22,1150857.625,1134196.5,1129524.125,1139377.25,1174314.5,1253183.5,1367917.75,1402344.0,1351622.875,1323902.25,1318006.75,1293115.25,1252457.375,1255110.375,1248683.75,1270396.0,1312926.0,1382031.125,1403391.875,1382331.0,1359879.625,1319651.5,1241530.5,1158365.25
